"iteration","seconds","level0","level1","level2"
1,0.38350895702024,3,2,2
2,0.354784480034141,2,1,1
3,0.349977845005924,2,1,1
4,0.349429183028406,1,1,1
5,0.328264901036164,4,1,0
6,0.352165851014433,2,1,1
7,0.355631498998264,3,1,1
