"iteration","seconds","level0","level1","level2"
1,0.0309452829824295,1,0,0
2,0.032164295000257,1,1,0
3,0.0520676629967056,1,0,1
4,0.0316316639946308,1,0,0
5,0.072123632999137,0,0,2
6,0.0508269210113212,0,0,1
7,0.0318863560096361,2,0,0
