"iteration","seconds","level0","level1","level2"
1,0.704901479039108,52,2,1
2,0.696243427024456,51,2,0
3,0.728045364026912,54,2,1
4,0.680984334030654,52,3,0
5,0.734228492045077,58,2,1
6,0.675748675042996,51,2,0
7,0.715345245029312,57,3,0
