"iteration","seconds","level0","level1","level2"
1,0.845418892975431,19,1,2
2,0.819341827009339,18,2,1
3,0.84121229298762,17,2,1
4,0.873724186007166,19,0,1
5,0.822560572996736,17,2,1
6,0.814225231995806,17,2,1
7,0.842065707984148,16,1,2
