"rows","columns","groups","workload","route","median_ms","iterations","gc_count","bench_allocated_bytes","values_metadata_groups_source","first_r_allocated_bytes","first_r_largest_allocation_bytes","first_owned_capture","first_compact_copy","first_staged_new","first_old_journal","first_native_scratch_allocated","first_mutation_target_copy","first_validation_scan_calls","first_validation_scanned_values","warm_r_allocated_bytes","warm_r_largest_allocation_bytes","warm_owned_capture","warm_compact_copy","warm_staged_new","warm_old_journal","warm_native_scratch_allocated","warm_mutation_target_copy","warm_validation_scan_calls","warm_validation_scanned_values"
1000000,8,128,"summarise_width","public",431.050302024232,7,191,328852944,TRUE,340853088,8000048,52006144,0,0,0,0,0,128,1e+06,328852944,8000048,40006144,0,0,0,0,0,128,1e+06
1000000,8,128,"summarise_width","predecessor_safe_reference",430.786139011616,7,190,328852944,TRUE,340853088,8000048,52006144,0,0,0,0,0,128,1e+06,328852944,8000048,40006144,0,0,0,0,0,128,1e+06
100000,16,128,"summarise_width","predecessor_safe_reference",712.209770019399,7,404,67196832,TRUE,69597120,800048,10412288,0,0,0,0,0,256,2e+05,67196832,800048,8012288,0,0,0,0,0,256,2e+05
100000,16,128,"summarise_width","public",704.901479039108,7,394,67196832,TRUE,69597120,800048,10412288,0,0,0,0,0,256,2e+05,67196832,800048,8012288,0,0,0,0,0,256,2e+05
1000000,16,128,"summarise_width","public",821.705681970343,7,358,657585568,TRUE,681585856,8000048,104012288,0,0,0,0,0,256,2e+06,657585568,8000048,80012288,0,0,0,0,0,256,2e+06
1000000,16,128,"summarise_width","predecessor_safe_reference",819.272783002816,7,359,657585568,TRUE,681585856,8000048,104012288,0,0,0,0,0,256,2e+06,657585568,8000048,80012288,0,0,0,0,0,256,2e+06
100000,8,16,"reframe_half","predecessor_safe_reference",9.65189200360328,7,3,16306576,TRUE,16349824,800048,2400000,0,0,0,0,0,0,0,16306576,800048,2400000,0,0,0,0,0,0,0
100000,8,16,"reframe_half","public",9.56550499540754,7,3,16306576,TRUE,16306576,800048,2400000,0,0,0,0,0,0,0,16306576,800048,2400000,0,0,0,0,0,0,0
1000000,8,16,"reframe_half","public",39.0350749657955,7,24,162106512,TRUE,162106512,8000048,2.4e+07,0,0,0,0,0,0,0,162106512,8000048,2.4e+07,0,0,0,0,0,0,0
1000000,8,16,"reframe_half","predecessor_safe_reference",39.2271600139793,7,22,162106512,TRUE,162106512,8000048,2.4e+07,0,0,0,0,0,0,0,162106512,8000048,2.4e+07,0,0,0,0,0,0,0
100000,16,16,"reframe_half","predecessor_safe_reference",9.39236200065352,7,2,16311976,TRUE,16311976,800048,2400000,0,0,0,0,0,0,0,16311976,800048,2400000,0,0,0,0,0,0,0
100000,16,16,"reframe_half","public",9.52409498859197,7,3,16311976,TRUE,16311976,800048,2400000,0,0,0,0,0,0,0,16311976,800048,2400000,0,0,0,0,0,0,0
1000000,16,16,"reframe_half","public",37.5991729961243,7,13,162111912,TRUE,162111912,8000048,2.4e+07,0,0,0,0,0,0,0,162111912,8000048,2.4e+07,0,0,0,0,0,0,0
1000000,16,16,"reframe_half","predecessor_safe_reference",38.1306150229648,7,14,162111912,TRUE,162111912,8000048,2.4e+07,0,0,0,0,0,0,0,162111912,8000048,2.4e+07,0,0,0,0,0,0,0
100000,8,128,"reframe_half","predecessor_safe_reference",49.9212720314972,7,23,16480816,TRUE,16480816,800048,2399232,0,0,0,0,0,0,0,16480816,800048,2399232,0,0,0,0,0,0,0
100000,8,128,"reframe_half","public",50.1814989838749,7,22,16480816,TRUE,16480816,800048,2399232,0,0,0,0,0,0,0,16480816,800048,2399232,0,0,0,0,0,0,0
1000000,8,128,"reframe_half","public",78.2578070065938,7,33,162278960,TRUE,162278960,8000048,23999488,0,0,0,0,0,0,0,162278960,8000048,23999488,0,0,0,0,0,0,0
1000000,8,128,"reframe_half","predecessor_safe_reference",79.8448350396939,7,33,162278960,TRUE,162278960,8000048,23999488,0,0,0,0,0,0,0,162278960,8000048,23999488,0,0,0,0,0,0,0
100000,16,128,"reframe_half","predecessor_safe_reference",49.9741619860288,7,22,16486216,TRUE,16486216,800048,2399232,0,0,0,0,0,0,0,16486216,800048,2399232,0,0,0,0,0,0,0
100000,16,128,"reframe_half","public",49.845012021251,7,22,16486216,TRUE,16486216,800048,2399232,0,0,0,0,0,0,0,16486216,800048,2399232,0,0,0,0,0,0,0
1000000,16,128,"reframe_half","public",78.767601022264,7,29,162284360,TRUE,162284360,8000048,23999488,0,0,0,0,0,0,0,162284360,8000048,23999488,0,0,0,0,0,0,0
