"iteration","seconds","level0","level1","level2"
1,0.0820687569794245,3,1,0
2,0.0792445130064152,3,0,0
3,0.0784781819966156,3,0,0
4,0.079086785990512,4,0,0
5,0.0797496329760179,3,1,0
6,0.0788525940151885,3,0,0
7,0.0798235970141832,4,0,0
