"iteration","seconds","level0","level1","level2"
1,0.0697307090158574,4,0,0
2,0.0666475089965388,4,0,0
3,0.070457556983456,2,1,0
4,0.0774176760169212,4,0,0
5,0.0699849499796983,5,0,0
6,0.0699500179907773,4,0,0
7,0.0722738159820437,5,0,0
