"checkpoint","n_cells_used","v_cells_used","vector_heap_bytes","gc_used_megabytes_rounded"
"prefixture",684454,1169105,9352840,45.6
"0_source_only",686941,1934968,15479744,51.5
"5",695260,2552875,20423000,56.7
"50",695345,2553188,20425504,56.7
"after_validation",695421,2553398,20427184,56.7
"source_released",695200,1793127,14345016,50.9
"result_released",686761,1174977,9399816,45.7
