"rows","columns","groups","workload","route","median_ms","iterations","gc_count","bench_allocated_bytes","values_metadata_groups_source","first_r_allocated_bytes","first_r_largest_allocation_bytes","first_owned_capture","first_compact_copy","first_staged_new","first_old_journal","first_native_scratch_allocated","first_mutation_target_copy","first_validation_scan_calls","first_validation_scanned_values","warm_r_allocated_bytes","warm_r_largest_allocation_bytes","warm_owned_capture","warm_compact_copy","warm_staged_new","warm_old_journal","warm_native_scratch_allocated","warm_mutation_target_copy","warm_validation_scan_calls","warm_validation_scanned_values"
100000,8,16,"group_nest","public",5.98050604457967,7,1,8101120,TRUE,8324408,400056,4e+05,0,0,0,0,0,0,0,8101120,400056,4e+05,0,0,0,0,0,0,0
1000000,8,16,"group_nest","public",34.953115042299,7,9,80101120,TRUE,80101120,4000056,4e+06,0,0,0,0,0,0,0,80101120,4000056,4e+06,0,0,0,0,0,0,0
100000,16,16,"group_nest","public",8.81446702987887,7,2,13332424,TRUE,13332424,400056,8e+05,0,0,0,0,0,0,0,13332424,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"group_nest","public",63.5784540208988,7,11,132132424,TRUE,132132424,4000056,8e+06,0,0,0,0,0,0,0,132132424,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"group_nest","public",23.3761910058092,7,8,8252232,TRUE,8252232,400056,4e+05,0,0,0,0,0,0,0,8252232,400056,4e+05,0,0,0,0,0,0,0
1000000,8,128,"group_nest","public",58.7554190133233,7,13,80251464,TRUE,80251464,4000056,4e+06,0,0,0,0,0,0,0,80251464,4000056,4e+06,0,0,0,0,0,0,0
100000,16,128,"group_nest","public",35.1365899841767,7,13,13685264,TRUE,13685264,400056,8e+05,0,0,0,0,0,0,0,13685264,400056,8e+05,0,0,0,0,0,0,0
1000000,16,128,"group_nest","public",94.3976209964603,7,15,132483856,TRUE,132483856,4000056,8e+06,0,0,0,0,0,0,0,132483856,4000056,8e+06,0,0,0,0,0,0,0
100000,8,16,"nest_by","public",5.92368002980947,7,1,8101488,TRUE,8101488,400056,4e+05,0,0,0,0,0,0,0,8101488,400056,4e+05,0,0,0,0,0,0,0
1000000,8,16,"nest_by","public",35.7166579924524,7,11,80101488,TRUE,80101488,4000056,4e+06,0,0,0,0,0,0,0,80101488,4000056,4e+06,0,0,0,0,0,0,0
100000,16,16,"nest_by","public",8.6119270126801,7,2,13332792,TRUE,13332792,400056,8e+05,0,0,0,0,0,0,0,13332792,400056,8e+05,0,0,0,0,0,0,0
1000000,16,16,"nest_by","public",66.1837170191575,7,11,132132792,TRUE,132132792,4000056,8e+06,0,0,0,0,0,0,0,132132792,4000056,8e+06,0,0,0,0,0,0,0
100000,8,128,"nest_by","public",23.8955790409818,7,8,8266096,TRUE,8266096,400056,4e+05,0,0,0,0,0,0,0,8266096,400056,4e+05,0,0,0,0,0,0,0
1000000,8,128,"nest_by","public",57.1327620127704,7,10,80265328,TRUE,80265328,4000056,4e+06,0,0,0,0,0,0,0,80265328,4000056,4e+06,0,0,0,0,0,0,0
100000,16,128,"nest_by","public",36.1970140365884,7,13,13699128,TRUE,13699128,400056,8e+05,0,0,0,0,0,0,0,13699128,400056,8e+05,0,0,0,0,0,0,0
1000000,16,128,"nest_by","public",92.6460190094076,7,14,132497720,TRUE,132497720,4000056,8e+06,0,0,0,0,0,0,0,132497720,4000056,8e+06,0,0,0,0,0,0,0
1000000,8,1,"summarise_one","public",13.2297160162125,7,1,36085560,TRUE,36085560,8000048,24,0,0,0,0,0,0,0,36085560,8000048,24,0,0,0,0,0,0,0
1000000,8,1,"summarise_width","public",35.60989399557,7,7,84090952,TRUE,84090952,8000048,48,0,0,0,0,0,0,0,84090952,8000048,48,0,0,0,0,0,0,0
1000000,8,1,"reframe_half","public",26.2743169732857,7,7,62085944,TRUE,62085944,8000048,8e+06,0,0,0,0,0,0,0,62085944,8000048,8e+06,0,0,0,0,0,0,0
1000000,8,1,"group_modify_identity","public",256.930764007848,7,18,276485560,TRUE,276485560,8000048,3.6e+07,0,0,0,0,0,4,4e+06,276485560,8000048,3.6e+07,0,0,0,0,0,4,4e+06
1000000,8,1,"group_nest","public",27.4726240022574,7,5,80083024,TRUE,80083024,8000048,4e+06,0,0,0,0,0,0,0,80083024,8000048,4e+06,0,0,0,0,0,0,0
1000000,8,1,"nest_by","public",28.9999149972573,7,8,80083024,TRUE,80083024,8000048,4e+06,0,0,0,0,0,0,0,80083024,8000048,4e+06,0,0,0,0,0,0,0
