"iteration","seconds","level0","level1","level2"
1,0.0233648339926731,1,0,0
2,0.0233761910058092,1,0,0
3,0.0233959940087516,1,0,0
4,0.0231773410050664,1,0,0
5,0.0234198560065124,1,0,0
6,0.0226771410088986,1,0,0
7,0.0234066540142521,2,0,0
