"iteration","seconds","level0","level1","level2"
1,0.0457940890046302,3,0,0
2,0.0449392799928319,2,0,0
3,0.0468813680054154,2,1,0
4,0.0455605120223481,3,0,0
5,0.046011061000172,3,0,0
6,0.0458266839850694,2,0,0
7,0.0499402550049126,3,0,0
