case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
numeric-n10000-p128,current,fraction,retained,2,,11186904,811752,56365,54617,151076864
numeric-n10000-p128,current,fraction,retained,3,,11186904,811752,56365,54617,151076864
numeric-n10000-p128,current,known5_fraction,allocation,1,2025768,,,,,
numeric-n10000-p128,current,known5_fraction,retained,1,,1783920,1103832,75068,74985,140492800
numeric-n10000-p128,current,known5_fraction,retained,2,,1783920,1103832,75068,74985,140378112
numeric-n10000-p128,current,known5_fraction,retained,3,,1783920,1103832,75068,74985,140361728
numeric-n10000-p128,current,all,allocation,1,10714520,,,,,
numeric-n10000-p128,current,all,retained,1,,10934680,598624,44421,42674,149798912
numeric-n10000-p128,current,all,retained,2,,10934680,598624,44421,42674,149848064
numeric-n10000-p128,current,all,retained,3,,10934680,598624,44421,42674,149782528
numeric-n10000-p128,current,datasig,allocation,1,10732656,,,,,
numeric-n10000-p128,current,datasig,retained,1,,11142696,807632,55799,54052,161497088
numeric-n10000-p128,current,datasig,retained,2,,11142696,807632,55799,54052,161202176
numeric-n10000-p128,current,datasig,retained,3,,11142696,807632,55799,54052,161251328
numeric-n1000-p1024,current,load,allocation,1,8916472,,,,,
numeric-n1000-p1024,current,load,retained,1,,8998752,597032,56920,42631,148668416
numeric-n1000-p1024,current,load,retained,2,,8998752,597032,56920,42631,148684800
numeric-n1000-p1024,current,load,retained,3,,8998752,597032,56920,42631,148439040
numeric-n1000-p1024,current,first_value,allocation,1,8916472,,,,,
numeric-n1000-p1024,current,first_value,retained,1,,9042728,640976,59428,45133,148865024
numeric-n1000-p1024,current,first_value,retained,2,,9042728,640976,59428,45133,148930560
numeric-n1000-p1024,current,first_value,retained,3,,9042728,640976,59428,45133,148471808
numeric-n1000-p1024,current,fraction,allocation,1,9660232,,,,,
numeric-n1000-p1024,current,fraction,retained,1,,9254264,811752,68906,54617,149061632
numeric-n1000-p1024,current,fraction,retained,2,,9254264,811752,68906,54617,149159936
numeric-n1000-p1024,current,fraction,retained,3,,9254264,811752,68906,54617,149291008
numeric-n1000-p1024,current,known5_fraction,allocation,1,1741472,,,,,
numeric-n1000-p1024,current,known5_fraction,retained,1,,1646032,1103832,77445,76777,141000704
numeric-n1000-p1024,current,known5_fraction,retained,2,,1646032,1103832,77445,76777,140886016
numeric-n1000-p1024,current,known5_fraction,retained,3,,1646032,1103832,77445,76777,140754944
numeric-n1000-p1024,current,all,allocation,1,8924712,,,,,
numeric-n1000-p1024,current,all,retained,1,,9008496,598624,56962,42674,148357120
numeric-n1000-p1024,current,all,retained,2,,9008496,598624,56962,42674,148783104
numeric-n1000-p1024,current,all,retained,3,,9008496,598624,56962,42674,148815872
numeric-n1000-p1024,current,datasig,allocation,1,9182976,,,,,
numeric-n1000-p1024,current,datasig,retained,1,,9209344,807632,68340,54052,160595968
numeric-n1000-p1024,current,datasig,retained,2,,9209344,807632,68340,54052,160677888
numeric-n1000-p1024,current,datasig,retained,3,,9209344,807632,68340,54052,160399360
numeric-n1000-p1024,direct,load,allocation,1,8801072,,,,,
numeric-n1000-p1024,direct,load,retained,1,,8887824,487840,50860,36670,147488768
numeric-n1000-p1024,direct,load,retained,2,,8887824,487840,50860,36670,147030016
numeric-n1000-p1024,direct,load,retained,3,,8887824,487840,50860,36670,147439616
numeric-n1000-p1024,direct,first_value,allocation,1,8801072,,,,,
numeric-n1000-p1024,direct,first_value,retained,1,,8936488,534696,53639,39341,147652608
numeric-n1000-p1024,direct,first_value,retained,2,,8936488,534696,53639,39341,147275776
numeric-n1000-p1024,direct,first_value,retained,3,,8936488,534696,53639,39341,147095552
numeric-n1000-p1024,direct,fraction,allocation,1,9544832,,,,,
numeric-n1000-p1024,direct,fraction,retained,1,,9215216,772664,66721,52429,148226048
numeric-n1000-p1024,direct,fraction,retained,2,,9215216,772664,66721,52429,147783680
numeric-n1000-p1024,direct,fraction,retained,3,,9215216,772664,66721,52429,148258816
numeric-n1000-p1024,direct,known5_fraction,allocation,1,1733256,,,,,
numeric-n1000-p1024,direct,known5_fraction,retained,1,,1607856,1065656,75322,74654,140869632
numeric-n1000-p1024,direct,known5_fraction,retained,2,,1607856,1065656,75322,74654,140820480
numeric-n1000-p1024,direct,known5_fraction,retained,3,,1607856,1065656,75322,74654,140820480
numeric-n1000-p1024,direct,all,allocation,1,8809312,,,,,
numeric-n1000-p1024,direct,all,retained,1,,8904840,494928,51337,37046,147390464
numeric-n1000-p1024,direct,all,retained,2,,8904840,494928,51337,37046,147259392
numeric-n1000-p1024,direct,all,retained,3,,8904840,494928,51337,37046,150159360
numeric-n1000-p1024,direct,datasig,allocation,1,9067576,,,,,
numeric-n1000-p1024,direct,datasig,retained,1,,9099376,698552,62347,48112,160219136
numeric-n1000-p1024,direct,datasig,retained,2,,9099376,698552,62347,48112,160399360
numeric-n1000-p1024,direct,datasig,retained,3,,9099376,698552,62347,48112,160235520
mixed-n10000-p128,direct,load,allocation,1,4477536,,,,,
