case,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
strl_high-n10000-p32,direct,fraction,retained,2,,4683512,4429320,56732,56335,482656256
strl_high-n10000-p32,direct,fraction,retained,3,,4683512,4429320,56732,56335,482754560
strl_high-n10000-p32,direct,known5_fraction,allocation,1,1621848,,,,,
strl_high-n10000-p32,direct,known5_fraction,retained,1,,4732608,4480832,76551,76450,221888512
strl_high-n10000-p32,direct,known5_fraction,retained,2,,4732608,4480832,76551,76450,221773824
strl_high-n10000-p32,direct,known5_fraction,retained,3,,4732608,4480832,76551,76450,221970432
strl_high-n10000-p32,direct,all,allocation,1,1982112,,,,,
strl_high-n10000-p32,direct,all,retained,1,,108098008,108016024,69470,69162,543899648
strl_high-n10000-p32,direct,all,retained,2,,108098008,108016024,69470,69162,545013760
strl_high-n10000-p32,direct,all,retained,3,,108098008,108016024,69470,69162,543981568
strl_high-n10000-p32,direct,datasig,allocation,1,692488,,,,,
strl_high-n10000-p32,direct,datasig,retained,1,,1028824,946672,48083,47732,1475002368
strl_high-n10000-p32,direct,datasig,retained,2,,1028824,946672,48083,47732,1474936832
strl_high-n10000-p32,direct,datasig,retained,3,,1028824,946672,48083,47732,1474920448
strl_high-n10000-p32,current,load,allocation,1,704056,,,,,
strl_high-n10000-p32,current,load,retained,1,,941168,859448,43322,43017,414449664
strl_high-n10000-p32,current,load,retained,2,,941168,859448,43322,43017,417005568
strl_high-n10000-p32,current,load,retained,3,,941168,859448,43322,43017,414400512
strl_high-n10000-p32,current,first_value,allocation,1,675448,,,,,
strl_high-n10000-p32,current,first_value,retained,1,,961696,879936,44224,43911,414531584
strl_high-n10000-p32,current,first_value,retained,2,,961696,879936,44224,43911,414285824
strl_high-n10000-p32,current,first_value,retained,3,,961696,879936,44224,43911,414384128
strl_high-n10000-p32,current,fraction,allocation,1,1919568,,,,,
strl_high-n10000-p32,current,fraction,retained,1,,4722600,4468408,58920,58523,482869248
strl_high-n10000-p32,current,fraction,retained,2,,4722600,4468408,58920,58523,482869248
strl_high-n10000-p32,current,fraction,retained,3,,4722600,4468408,58920,58523,482983936
strl_high-n10000-p32,current,known5_fraction,allocation,1,1621848,,,,,
strl_high-n10000-p32,current,known5_fraction,retained,1,,4770784,4519008,78674,78573,222019584
strl_high-n10000-p32,current,known5_fraction,retained,2,,4770784,4519008,78674,78573,221806592
strl_high-n10000-p32,current,known5_fraction,retained,3,,4770784,4519008,78674,78573,223477760
strl_high-n10000-p32,current,all,allocation,1,1986200,,,,,
strl_high-n10000-p32,current,all,retained,1,,108206792,108124816,75371,75064,543801344
strl_high-n10000-p32,current,all,retained,2,,108206792,108124816,75371,75064,543981568
strl_high-n10000-p32,current,all,retained,3,,108206792,108124816,75371,75064,414203904
strl_high-n10000-p32,current,datasig,allocation,1,696576,,,,,
strl_high-n10000-p32,current,datasig,retained,1,,1143616,1060576,54336,53932,1475002368
strl_high-n10000-p32,current,datasig,retained,2,,1143616,1060576,54336,53932,1475018752
strl_high-n10000-p32,current,datasig,retained,3,,1143616,1060576,54336,53932,1474871296
