case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
numeric-n1000-p8,numeric_snapshot,direct,datasig,retained,3,,861432,717096,49205,49029,131776512
pure-numeric-n1000-p8,numeric_snapshot,direct,load,allocation,1,435848,,,,,
pure-numeric-n1000-p8,numeric_snapshot,direct,load,retained,1,,566744,487696,36749,36683,130924544
pure-numeric-n1000-p8,numeric_snapshot,direct,load,retained,2,,566744,487696,36749,36683,130727936
pure-numeric-n1000-p8,numeric_snapshot,direct,load,retained,3,,566744,487696,36749,36683,130760704
pure-numeric-n1000-p8,numeric_snapshot,direct,first_value,allocation,1,436896,,,,,
pure-numeric-n1000-p8,numeric_snapshot,direct,first_value,retained,1,,609104,528240,39091,38912,131809280
pure-numeric-n1000-p8,numeric_snapshot,direct,first_value,retained,2,,609104,528240,39091,38912,130891776
pure-numeric-n1000-p8,numeric_snapshot,direct,first_value,retained,3,,609104,528240,39091,38912,130793472
pure-numeric-n1000-p8,numeric_snapshot,direct,fraction,allocation,1,822616,,,,,
pure-numeric-n1000-p8,numeric_snapshot,direct,fraction,retained,1,,926984,802928,54438,54206,130940928
pure-numeric-n1000-p8,numeric_snapshot,direct,fraction,retained,2,,926984,802928,54438,54206,130924544
pure-numeric-n1000-p8,numeric_snapshot,direct,fraction,retained,3,,926984,802928,54438,54206,130973696
pure-numeric-n1000-p8,numeric_snapshot,direct,known5_fraction,allocation,1,772896,,,,,
pure-numeric-n1000-p8,numeric_snapshot,direct,known5_fraction,retained,1,,1217304,1094720,74382,74303,131825664
pure-numeric-n1000-p8,numeric_snapshot,direct,known5_fraction,retained,2,,1217304,1094720,74382,74303,131678208
pure-numeric-n1000-p8,numeric_snapshot,direct,known5_fraction,retained,3,,1217304,1094720,74382,74303,131727360
pure-numeric-n1000-p8,numeric_snapshot,direct,all,allocation,1,462232,,,,,
pure-numeric-n1000-p8,numeric_snapshot,direct,all,retained,1,,595064,494784,37347,37056,130777088
pure-numeric-n1000-p8,numeric_snapshot,direct,all,retained,2,,595064,494784,37347,37056,130859008
pure-numeric-n1000-p8,numeric_snapshot,direct,all,retained,3,,595064,494784,37347,37056,130924544
pure-numeric-n1000-p8,numeric_snapshot,direct,datasig,allocation,1,503368,,,,,
pure-numeric-n1000-p8,numeric_snapshot,direct,datasig,retained,1,,861864,717504,49264,49074,131661824
pure-numeric-n1000-p8,numeric_snapshot,direct,datasig,retained,2,,861864,717504,49264,49074,131776512
pure-numeric-n1000-p8,numeric_snapshot,direct,datasig,retained,3,,861864,717504,49264,49074,131563520
pure-numeric-n1000-p8,baseline,direct,load,allocation,1,462816,,,,,
pure-numeric-n1000-p8,baseline,direct,load,retained,1,,591824,506176,36654,36709,130252800
pure-numeric-n1000-p8,baseline,direct,load,retained,2,,591824,506176,36654,36709,130334720
