case,decoder,variant,scenario,mode,repetition,Rprofmem_bytes,retained_vector_delta_bytes,released_vector_delta_bytes,retained_header_delta_cells,released_header_delta_cells,peak_RSS_bytes
numeric-n1000-p1024,baseline,current,fraction,allocation,1,9660232,,,,,
numeric-n1000-p1024,baseline,current,fraction,retained,1,,9254176,811744,68900,54617,149405696
numeric-n1000-p1024,baseline,current,fraction,retained,2,,9254176,811744,68900,54617,149585920
numeric-n1000-p1024,baseline,current,fraction,retained,3,,9254176,811744,68900,54617,150437888
numeric-n1000-p1024,baseline,current,known5_fraction,allocation,1,1741472,,,,,
numeric-n1000-p1024,baseline,current,known5_fraction,retained,1,,1645944,1103824,77439,76777,141049856
numeric-n1000-p1024,baseline,current,known5_fraction,retained,2,,1645944,1103824,77420,76758,140918784
numeric-n1000-p1024,baseline,current,known5_fraction,retained,3,,1645944,1103824,77439,76777,141049856
numeric-n1000-p1024,baseline,current,all,allocation,1,8924712,,,,,
numeric-n1000-p1024,baseline,current,all,retained,1,,9008408,598616,56956,42674,148946944
numeric-n1000-p1024,baseline,current,all,retained,2,,9008408,598616,56956,42674,148996096
numeric-n1000-p1024,baseline,current,all,retained,3,,9008408,598616,56956,42674,148914176
numeric-n1000-p1024,baseline,current,datasig,allocation,1,9182976,,,,,
numeric-n1000-p1024,baseline,current,datasig,retained,1,,9209256,807624,68334,54052,160612352
numeric-n1000-p1024,baseline,current,datasig,retained,2,,9209256,807624,68334,54052,161005568
numeric-n1000-p1024,baseline,current,datasig,retained,3,,9209256,807624,68334,54052,162283520
numeric-n1000-p1024,baseline,direct,load,allocation,1,8801072,,,,,
numeric-n1000-p1024,baseline,direct,load,retained,1,,8887736,487832,50853,36669,147472384
numeric-n1000-p1024,baseline,direct,load,retained,2,,8887736,487832,50853,36669,147800064
numeric-n1000-p1024,baseline,direct,load,retained,3,,8887736,487832,50853,36669,147603456
numeric-n1000-p1024,baseline,direct,first_value,allocation,1,8801072,,,,,
numeric-n1000-p1024,baseline,direct,first_value,retained,1,,8936384,534672,53629,39337,147406848
numeric-n1000-p1024,baseline,direct,first_value,retained,2,,8936384,534672,53629,39337,147144704
numeric-n1000-p1024,baseline,direct,first_value,retained,3,,8936384,534672,53629,39337,147587072
numeric-n1000-p1024,baseline,direct,fraction,allocation,1,9544832,,,,,
numeric-n1000-p1024,baseline,direct,fraction,retained,1,,9215128,772656,66714,52428,148455424
numeric-n1000-p1024,baseline,direct,fraction,retained,2,,9215128,772656,66714,52428,148455424
numeric-n1000-p1024,baseline,direct,fraction,retained,3,,9215128,772656,66714,52428,148439040
numeric-n1000-p1024,baseline,direct,known5_fraction,allocation,1,1733256,,,,,
numeric-n1000-p1024,baseline,direct,known5_fraction,retained,1,,1607768,1065648,75315,74653,140869632
numeric-n1000-p1024,baseline,direct,known5_fraction,retained,2,,1607768,1065648,75315,74653,141344768
numeric-n1000-p1024,baseline,direct,known5_fraction,retained,3,,1607768,1065648,75315,74653,141770752
numeric-n1000-p1024,baseline,direct,all,allocation,1,8809312,,,,,
numeric-n1000-p1024,baseline,direct,all,retained,1,,8904752,494920,51330,37045,148832256
numeric-n1000-p1024,baseline,direct,all,retained,2,,8904752,494920,51330,37045,147505152
numeric-n1000-p1024,baseline,direct,all,retained,3,,8904752,494920,51330,37045,147193856
numeric-n1000-p1024,baseline,direct,datasig,allocation,1,9067576,,,,,
numeric-n1000-p1024,baseline,direct,datasig,retained,1,,9099288,698544,62340,48111,160677888
numeric-n1000-p1024,baseline,direct,datasig,retained,2,,9099288,698544,62340,48111,160677888
numeric-n1000-p1024,baseline,direct,datasig,retained,3,,9099288,698544,62340,48111,163315712
numeric-n1000-p1024,numeric_snapshot,direct,load,allocation,1,559336,,,,,
numeric-n1000-p1024,numeric_snapshot,direct,load,retained,1,,858992,536400,64135,40735,139771904
numeric-n1000-p1024,numeric_snapshot,direct,load,retained,2,,858992,536400,64135,40735,139837440
numeric-n1000-p1024,numeric_snapshot,direct,load,retained,3,,858992,536400,64135,40735,139968512
numeric-n1000-p1024,numeric_snapshot,direct,first_value,allocation,1,567384,,,,,
numeric-n1000-p1024,numeric_snapshot,direct,first_value,retained,1,,915728,583240,66921,43401,140050432
numeric-n1000-p1024,numeric_snapshot,direct,first_value,retained,2,,915728,583240,66921,43401,140017664
numeric-n1000-p1024,numeric_snapshot,direct,first_value,retained,3,,915728,583240,66921,43401,139771904
numeric-n1000-p1024,numeric_snapshot,direct,fraction,allocation,1,1737688,,,,,
numeric-n1000-p1024,numeric_snapshot,direct,fraction,retained,1,,1189496,821552,80249,56515,141295616
numeric-n1000-p1024,numeric_snapshot,direct,fraction,retained,2,,1189496,821552,80249,56515,141262848
numeric-n1000-p1024,numeric_snapshot,direct,fraction,retained,3,,1189496,821552,80249,56515,141295616
numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,allocation,1,1748768,,,,,
numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,retained,1,,1202048,1067320,76188,74826,141639680
numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,retained,2,,1202048,1067320,76188,74826,141787136
numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,retained,3,,1202048,1067320,76188,74826,142098432
numeric-n1000-p1024,numeric_snapshot,direct,all,allocation,1,8808728,,,,,
numeric-n1000-p1024,numeric_snapshot,direct,all,retained,1,,1023464,543488,76897,41108,148979712
numeric-n1000-p1024,numeric_snapshot,direct,all,retained,2,,1023464,543488,76897,41108,148799488
numeric-n1000-p1024,numeric_snapshot,direct,all,retained,3,,1023464,543488,76897,41108,148897792
numeric-n1000-p1024,numeric_snapshot,direct,datasig,allocation,1,9066992,,,,,
numeric-n1000-p1024,numeric_snapshot,direct,datasig,retained,1,,9223952,765864,76538,53093,161349632
numeric-n1000-p1024,numeric_snapshot,direct,datasig,retained,2,,9223952,765864,76538,53093,161595392
numeric-n1000-p1024,numeric_snapshot,direct,datasig,retained,3,,9223952,765864,76538,53093,161366016
pure-numeric-n1000-p1024,numeric_snapshot,direct,load,allocation,1,559336,,,,,
pure-numeric-n1000-p1024,numeric_snapshot,direct,load,retained,1,,891872,536464,67433,40747,135790592
pure-numeric-n1000-p1024,numeric_snapshot,direct,load,retained,2,,891872,536464,67433,40747,135479296
pure-numeric-n1000-p1024,numeric_snapshot,direct,load,retained,3,,891872,536464,67433,40747,135806976
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value,allocation,1,560384,,,,,
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value,retained,1,,934232,577008,69775,42976,135643136
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value,retained,2,,934232,577008,69775,42976,135921664
pure-numeric-n1000-p1024,numeric_snapshot,direct,first_value,retained,3,,934232,577008,69775,42976,135708672
pure-numeric-n1000-p1024,numeric_snapshot,direct,fraction,allocation,1,1563856,,,,,
pure-numeric-n1000-p1024,numeric_snapshot,direct,fraction,retained,1,,1438488,852576,86660,58292,137052160
pure-numeric-n1000-p1024,numeric_snapshot,direct,fraction,retained,2,,1438488,852576,86660,58292,137183232
pure-numeric-n1000-p1024,numeric_snapshot,direct,fraction,retained,3,,1438488,852576,86660,58292,137183232
pure-numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,allocation,1,1574936,,,,,
pure-numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,retained,1,,1419864,1098288,79481,76597,137592832
pure-numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,retained,2,,1419864,1098288,79481,76597,137609216
pure-numeric-n1000-p1024,numeric_snapshot,direct,known5_fraction,retained,3,,1419864,1098288,79481,76597,137805824
pure-numeric-n1000-p1024,numeric_snapshot,direct,all,allocation,1,4503728,,,,,
pure-numeric-n1000-p1024,numeric_snapshot,direct,all,retained,1,,3344144,543552,83475,41120,139837440
pure-numeric-n1000-p1024,numeric_snapshot,direct,all,retained,2,,3344144,543552,83475,41120,140902400
pure-numeric-n1000-p1024,numeric_snapshot,direct,all,retained,3,,3344144,543552,83475,41120,140066816
pure-numeric-n1000-p1024,numeric_snapshot,direct,datasig,allocation,1,11361352,,,,,
pure-numeric-n1000-p1024,numeric_snapshot,direct,datasig,retained,1,,9230608,798792,77382,55577,154664960
pure-numeric-n1000-p1024,numeric_snapshot,direct,datasig,retained,2,,9230608,798792,77382,55577,154877952
pure-numeric-n1000-p1024,numeric_snapshot,direct,datasig,retained,3,,9230608,798792,77382,55577,155107328
pure-numeric-n1000-p1024,baseline,direct,load,allocation,1,4496072,,,,,
pure-numeric-n1000-p1024,baseline,direct,load,retained,1,,4589376,2775696,51691,39961,138838016
pure-numeric-n1000-p1024,baseline,direct,load,retained,2,,4589376,2775696,51691,39961,138362880
pure-numeric-n1000-p1024,baseline,direct,load,retained,3,,4589376,2775696,51691,39961,138248192
pure-numeric-n1000-p1024,baseline,direct,first_value,allocation,1,4496072,,,,,
pure-numeric-n1000-p1024,baseline,direct,first_value,retained,1,,4630640,2815200,54022,42188,138887168
pure-numeric-n1000-p1024,baseline,direct,first_value,retained,2,,4630640,2815200,54022,42188,138444800
pure-numeric-n1000-p1024,baseline,direct,first_value,retained,3,,4630640,2815200,54022,42188,138772480
pure-numeric-n1000-p1024,baseline,direct,fraction,allocation,1,5123272,,,,,
pure-numeric-n1000-p1024,baseline,direct,fraction,retained,1,,4975528,3060928,67761,55757,139411456
pure-numeric-n1000-p1024,baseline,direct,fraction,retained,2,,4975528,3060928,67761,55757,139395072
pure-numeric-n1000-p1024,baseline,direct,fraction,retained,3,,4975528,3060928,67761,55757,140083200
pure-numeric-n1000-p1024,baseline,direct,known5_fraction,allocation,1,1393696,,,,,
pure-numeric-n1000-p1024,baseline,direct,known5_fraction,retained,1,,1443920,1180800,75581,74870,136347648
pure-numeric-n1000-p1024,baseline,direct,known5_fraction,retained,2,,1443920,1180800,75581,74870,136232960
pure-numeric-n1000-p1024,baseline,direct,known5_fraction,retained,3,,1443920,1180800,75581,74870,137052160
pure-numeric-n1000-p1024,baseline,direct,all,allocation,1,4504312,,,,,
pure-numeric-n1000-p1024,baseline,direct,all,retained,1,,4606392,2782784,52168,40337,138412032
pure-numeric-n1000-p1024,baseline,direct,all,retained,2,,4606392,2782784,52168,40337,139083776
pure-numeric-n1000-p1024,baseline,direct,all,retained,3,,4606392,2782784,52168,40337,140165120
pure-numeric-n1000-p1024,baseline,direct,datasig,allocation,1,4762576,,,,,
pure-numeric-n1000-p1024,baseline,direct,datasig,retained,1,,4801464,2986992,63216,51447,144834560
pure-numeric-n1000-p1024,baseline,direct,datasig,retained,2,,4801464,2986992,63216,51447,144572416
pure-numeric-n1000-p1024,baseline,direct,datasig,retained,3,,4801464,2986992,63216,51447,145047552
pure-numeric-n1000-p1024,baseline,current,load,allocation,1,4611472,,,,,
pure-numeric-n1000-p1024,baseline,current,load,retained,1,,4700448,2885032,57776,45947,139919360
pure-numeric-n1000-p1024,baseline,current,load,retained,2,,4700448,2885032,57776,45947,139427840
pure-numeric-n1000-p1024,baseline,current,load,retained,3,,4700448,2885032,57776,45947,139608064
pure-numeric-n1000-p1024,baseline,current,first_value,allocation,1,4611472,,,,,
pure-numeric-n1000-p1024,baseline,current,first_value,retained,1,,4737024,2921624,59836,48005,141017088
pure-numeric-n1000-p1024,baseline,current,first_value,retained,2,,4737024,2921624,59836,48005,140115968
pure-numeric-n1000-p1024,baseline,current,first_value,retained,3,,4737024,2921624,59836,48005,140460032
pure-numeric-n1000-p1024,baseline,current,fraction,allocation,1,5238672,,,,,
pure-numeric-n1000-p1024,baseline,current,fraction,retained,1,,5014576,3100016,69947,57946,140148736
pure-numeric-n1000-p1024,baseline,current,fraction,retained,2,,5014576,3100016,69947,57946,140967936
pure-numeric-n1000-p1024,baseline,current,fraction,retained,3,,5014576,3100016,69947,57946,140132352
pure-numeric-n1000-p1024,baseline,current,known5_fraction,allocation,1,1401912,,,,,
pure-numeric-n1000-p1024,baseline,current,known5_fraction,retained,1,,1482096,1218976,77705,76994,136511488
pure-numeric-n1000-p1024,baseline,current,known5_fraction,retained,2,,1482096,1218976,77705,76994,136298496
pure-numeric-n1000-p1024,baseline,current,known5_fraction,retained,3,,1482096,1218976,77705,76994,136347648
pure-numeric-n1000-p1024,baseline,current,all,allocation,1,4619712,,,,,
pure-numeric-n1000-p1024,baseline,current,all,retained,1,,4710192,2886624,57818,45990,139722752
pure-numeric-n1000-p1024,baseline,current,all,retained,2,,4710192,2886624,57818,45990,139739136
pure-numeric-n1000-p1024,baseline,current,all,retained,3,,4710192,2886624,57818,45990,139755520
pure-numeric-n1000-p1024,baseline,current,datasig,allocation,1,4877976,,,,,
pure-numeric-n1000-p1024,baseline,current,datasig,retained,1,,4911512,3096152,69222,57400,144588800
pure-numeric-n1000-p1024,baseline,current,datasig,retained,2,,4911512,3096152,69222,57400,144392192
pure-numeric-n1000-p1024,baseline,current,datasig,retained,3,,4911512,3096152,69222,57400,146440192
