case,family,rows,file_columns,loaded_columns,scenario,comparison,left_method,right_method,left_ms,right_ms,right_minus_left_ms,right_minus_left_percent,left_minimum_ms,left_maximum_ms,right_minimum_ms,right_maximum_ms
numeric-n1000-p128,numeric,1000,128,128,all,direct_minus_current,current_all,direct_all,3.1770833333333335,1.9609375,-1.2161458333333335,-38.278688524590166,3.0833333333333335,3.3958333333333335,1.921875,2.140625
numeric-n1000-p128,numeric,1000,128,128,all,deferred_minus_direct,direct_all,deferred_all,1.9609375,2.5625,0.6015625,30.67729083665338,1.921875,2.140625,2.4791666666666665,2.8125000000000004
numeric-n1000-p128,numeric,1000,128,128,all,deferred_minus_current,current_all,deferred_all,3.1770833333333335,2.5625,-0.6145833333333335,-19.344262295081972,3.0833333333333335,3.3958333333333335,2.4791666666666665,2.8125000000000004
numeric-n1000-p128,numeric,1000,128,128,datasig,direct_minus_current,current_datasig,direct_datasig,13.166666666666668,11.3,-1.8666666666666671,-14.177215189873415,12.222222222222223,14.333333333333334,10.7,13.3
numeric-n1000-p128,numeric,1000,128,128,datasig,deferred_minus_direct,direct_datasig,deferred_datasig,11.3,11.5,0.1999999999999993,1.7699115044247815,10.7,13.3,11.1,12.4
numeric-n1000-p128,numeric,1000,128,128,datasig,deferred_minus_current,current_datasig,deferred_datasig,13.166666666666668,11.5,-1.6666666666666679,-12.658227848101278,12.222222222222223,14.333333333333334,11.1,12.4
numeric-n1000-p128,numeric,1000,128,128,load,deferred_direct_minus_deferred_current,deferred_current_load,deferred_load,2.3645833333333335,1.2062500000000003,-1.1583333333333332,-48.98678414096915,2.2916666666666665,2.5625,1.1624999999999999,1.3375
numeric-n1000-p8,numeric,1000,8,8,load,direct_minus_current,current_load,direct_load,0.5721153846153846,0.376953125,-0.19516225961538458,-34.11239495798319,0.4855769230769231,0.6875,0.314453125,0.447265625
numeric-n1000-p8,numeric,1000,8,8,load,deferred_minus_direct,direct_load,deferred_load,0.376953125,0.376953125,0.0,0.0,0.314453125,0.447265625,0.3125,0.41796875
numeric-n1000-p8,numeric,1000,8,8,load,deferred_minus_current,current_load,deferred_load,0.5721153846153846,0.376953125,-0.19516225961538458,-34.11239495798319,0.4855769230769231,0.6875,0.3125,0.41796875
numeric-n1000-p8,numeric,1000,8,8,fraction,direct_minus_current,current_fraction,direct_fraction,1.50625,1.3541666666666665,-0.15208333333333357,-10.096818810511776,1.2249999999999999,1.8124999999999998,1.0833333333333333,1.5520833333333333
numeric-n1000-p8,numeric,1000,8,8,fraction,deferred_minus_direct,direct_fraction,deferred_fraction,1.3541666666666665,1.390625,0.03645833333333348,2.692307692307705,1.0833333333333333,1.5520833333333333,1.15625,1.6875
numeric-n1000-p8,numeric,1000,8,8,fraction,deferred_minus_current,current_fraction,deferred_fraction,1.50625,1.390625,-0.11562500000000009,-7.676348547717849,1.2249999999999999,1.8124999999999998,1.15625,1.6875
