case,variant,phase,observations,median_ms,minimum_ms,maximum_ms
numeric-n1000-p8,current,empty_control,100,0.0,0.0,0.187000026926398
numeric-n1000-p8,current,load,7,0.722000026144087,0.701999990269542,8.24399996781722
numeric-n1000-p8,current,column_handle,7,0.00400003045797348,0.00399997225031257,0.0379999983124435
numeric-n1000-p8,current,first_value_same_handle,7,0.0540000037290156,0.0509999808855355,0.377999967895448
numeric-n1000-p8,current,repeat_value_same_handle,7,0.0390000059269369,0.0390000059269369,0.0470000086352229
numeric-n1000-p8,current,repeat_value_new_extraction,7,0.0409999629482627,0.0399999553337693,0.0460000010207295
numeric-n1000-p8,current,column_summary,7,0.00499997986480594,0.00499997986480594,0.013999990187585399
numeric-n1000-p8,current,repeat_column_summary,7,0.00399997225031257,0.00399997225031257,0.618999998550862
numeric-n1000-p8,current,fraction_workflow,7,0.824000046122819,0.804000010248274,2.32999998843297
numeric-n1000-p8,current,expanded_fraction_workflow,7,0.793000042904168,0.783999974373728,3.82000004174188
numeric-n1000-p8,current,all_columns_summary,7,0.0299999956041574,0.0299999956041574,0.0330000184476376
numeric-n1000-p8,direct,empty_control,100,0.0,0.0,0.192000006791204
numeric-n1000-p8,direct,load,7,0.601999985519797,0.546999974176288,9.11199999973178
numeric-n1000-p8,direct,column_handle,7,0.00499997986480594,0.00399997225031257,0.0379999983124435
numeric-n1000-p8,direct,first_value_same_handle,7,0.0700000091455877,0.0529999961145222,0.408000021707267
numeric-n1000-p8,direct,repeat_value_same_handle,7,0.0439999857917428,0.0399999553337693,0.0599999912083149
numeric-n1000-p8,direct,repeat_value_new_extraction,7,0.0449999934062362,0.0419999705627561,0.0570000265724957
numeric-n1000-p8,direct,column_summary,7,0.00500003807246685,0.00499997986480594,0.0149999978020787
numeric-n1000-p8,direct,repeat_column_summary,7,0.00400003045797348,0.00399997225031257,0.679000047966838
numeric-n1000-p8,direct,fraction_workflow,7,0.916000048164278,0.868000031914562,2.88099999306723
numeric-n1000-p8,direct,expanded_fraction_workflow,7,0.900999992154539,0.791999977082014,4.06399997882545
numeric-n1000-p8,direct,all_columns_summary,7,0.0320000108331442,0.0299999956041574,0.0349999754689634
numeric-n10000-p128,direct,empty_control,100,0.0,0.0,0.185000011697412
numeric-n10000-p128,direct,load,7,2.4930000072345098,2.47499998658895,10.2529999567196
numeric-n10000-p128,direct,column_handle,7,0.00400003045797348,0.00399997225031257,0.0369999906979501
numeric-n10000-p128,direct,first_value_same_handle,7,0.0569999683648348,0.0489999656565487,0.39500003913417503
numeric-n10000-p128,direct,repeat_value_same_handle,7,0.0400000135414302,0.0369999906979501,0.0460000010207295
numeric-n10000-p128,direct,repeat_value_new_extraction,7,0.0410000211559236,0.0400000135414302,0.0439999857917428
numeric-n10000-p128,direct,column_summary,7,0.0149999978020787,0.013999990187585399,0.0250000157393515
numeric-n10000-p128,direct,repeat_column_summary,7,0.013999990187585399,0.013999990187585399,0.669000030029565
numeric-n10000-p128,direct,fraction_workflow,7,1.30699999863282,1.2660000356845602,3.31100000767037
numeric-n10000-p128,direct,expanded_fraction_workflow,7,1.93999998737127,1.9120000069960998,5.14899997506291
numeric-n10000-p128,direct,all_columns_summary,7,1.7029999871738302,1.69599999208003,1.73600000562146
numeric-n10000-p128,current,empty_control,100,0.0,0.0,0.185000011697412
numeric-n10000-p128,current,load,7,3.487000009045,3.4429999650456,11.1359999864362
numeric-n10000-p128,current,column_handle,7,0.00499997986480594,0.00399997225031257,0.0409999629482627
numeric-n10000-p128,current,first_value_same_handle,7,0.0599999912083149,0.054999953135848,0.391000008676201
numeric-n10000-p128,current,repeat_value_same_handle,7,0.0409999629482627,0.0379999983124435,0.0449999934062362
numeric-n10000-p128,current,repeat_value_new_extraction,7,0.0410000211559236,0.0400000135414302,0.0449999934062362
numeric-n10000-p128,current,column_summary,7,0.0159999472089112,0.0149999978020787,0.0299999956041574
