case,decoder,variant,phase,observations,median_ms,minimum_ms,maximum_ms
pure-numeric-n1000-p8,baseline,direct,repeat_value_new_extraction,7,0.0529999961145222,0.0460000010207295,0.0589999835938215
pure-numeric-n1000-p8,baseline,direct,column_summary,7,0.00800000270828605,0.00699999509379268,0.020999985281378
pure-numeric-n1000-p8,baseline,direct,repeat_column_summary,7,0.00599998747929931,0.00499997986480594,0.63999998383224
pure-numeric-n1000-p8,baseline,direct,fraction_workflow,7,1.07099994784221,0.956000003498048,2.9839999624528
pure-numeric-n1000-p8,baseline,direct,expanded_fraction_workflow,7,0.930999987758696,0.891999981831759,3.97900003008544
pure-numeric-n1000-p8,baseline,direct,all_columns_summary,7,0.0400000135414302,0.037000048905611,0.0449999934062362
pure-numeric-n1000-p8,baseline,current,empty_control,100,0.0,0.0,0.216000014916062
pure-numeric-n1000-p8,baseline,current,load,7,0.792999984696507,0.765000004321337,9.22599999466911
pure-numeric-n1000-p8,baseline,current,column_handle,7,0.0109999673441052,0.00699999509379268,0.050000031478703
pure-numeric-n1000-p8,baseline,current,first_value_same_handle,7,0.0709999585524201,0.063000014051795,0.403999991249293
pure-numeric-n1000-p8,baseline,current,repeat_value_same_handle,7,0.0509999808855355,0.0439999857917428,0.057999975979328204
pure-numeric-n1000-p8,baseline,current,repeat_value_new_extraction,7,0.0540000037290156,0.0480000162497163,0.0599999912083149
pure-numeric-n1000-p8,baseline,current,column_summary,7,0.00900001032277942,0.00599998747929931,0.019999977666884702
pure-numeric-n1000-p8,baseline,current,repeat_column_summary,7,0.00500003807246685,0.00399997225031257,0.6819999543949959
pure-numeric-n1000-p8,baseline,current,fraction_workflow,7,0.981999968644232,0.907999987248331,2.59899999946356
pure-numeric-n1000-p8,baseline,current,expanded_fraction_workflow,7,0.907999987248331,0.861999986227602,4.10299998475239
pure-numeric-n1000-p8,baseline,current,all_columns_summary,7,0.0380000565201044,0.0379999983124435,0.0510000390931964
numeric-n10000-p128,baseline,current,empty_control,100,0.0,0.0,0.189999991562217
