case,family,rows,file_columns,loaded_columns,method,decoder,variant,scenario,threads,n,median_ms,minimum_ms,maximum_ms
numeric-n1000-p8,numeric,1000,8,8,direct_all,baseline,direct,all,0,8,0.39453125,0.34375,0.423828125
numeric-n1000-p8,numeric,1000,8,8,direct_datasig,baseline,direct,datasig,0,8,0.984375,0.9739583333333333,1.0364583333333335
numeric-n1000-p8,numeric,1000,8,8,direct_fraction,baseline,direct,fraction,0,8,1.3541666666666665,1.0833333333333333,1.5520833333333333
numeric-n1000-p8,numeric,1000,8,1,direct_known5_fraction,baseline,direct,known5_fraction,0,8,1.3812499999999999,1.125,1.6125
numeric-n1000-p8,numeric,1000,8,8,direct_load,baseline,direct,load,0,8,0.376953125,0.314453125,0.447265625
numeric-n10000-p128,numeric,10000,128,128,current_all,baseline,current,all,0,8,5.328125,5.0625,5.65625
numeric-n10000-p128,numeric,10000,128,128,current_datasig,baseline,current,datasig,0,8,13.625,13.25,15.0
numeric-n10000-p128,numeric,10000,128,128,current_fraction,baseline,current,fraction,0,8,4.90625,4.59375,5.15625
numeric-n10000-p128,numeric,10000,128,7,current_known5_fraction,baseline,current,known5_fraction,0,8,2.552083333333333,2.375,2.854166666666667
numeric-n10000-p128,numeric,10000,128,128,current_load,baseline,current,load,0,8,3.5625,3.375,3.875
numeric-n10000-p128,numeric,10000,128,128,deferred_all,numeric_snapshot,direct,all,0,8,7.333333333333333,7.066666666666666,8.133333333333333
numeric-n10000-p128,numeric,10000,128,128,deferred_current_load,numeric_snapshot,current,load,0,8,2.604166666666667,2.520833333333333,3.3958333333333335
numeric-n10000-p128,numeric,10000,128,128,deferred_datasig,numeric_snapshot,direct,datasig,0,8,16.75,15.083333333333332,18.166666666666668
numeric-n10000-p128,numeric,10000,128,128,deferred_fraction,numeric_snapshot,direct,fraction,0,8,3.734375,3.65625,4.28125
numeric-n10000-p128,numeric,10000,128,7,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,3.046875,2.9375,3.8125
numeric-n10000-p128,numeric,10000,128,128,deferred_load,numeric_snapshot,direct,load,0,8,1.45703125,1.4296875,1.6640625
numeric-n10000-p128,numeric,10000,128,128,direct_all,baseline,direct,all,0,8,4.28125,4.03125,4.5625
numeric-n10000-p128,numeric,10000,128,128,direct_datasig,baseline,direct,datasig,0,8,12.444444444444445,12.0,13.777777777777779
numeric-n10000-p128,numeric,10000,128,128,direct_fraction,baseline,direct,fraction,0,8,3.921875,3.65625,4.1875
numeric-n10000-p128,numeric,10000,128,7,direct_known5_fraction,baseline,direct,known5_fraction,0,8,2.3125,2.1458333333333335,2.625
numeric-n10000-p128,numeric,10000,128,128,direct_load,baseline,direct,load,0,8,2.427083333333333,2.2708333333333335,2.7083333333333335
numeric-n10000-p128,numeric,10000,128,128,private_eager_all,eager_private,direct,all,0,8,4.28125,4.09375,4.5625
numeric-n10000-p128,numeric,10000,128,128,private_eager_load,eager_private,direct,load,0,8,2.427083333333333,2.25,2.6666666666666665
numeric-n10000-p128,numeric,10000,128,128,serial_direct_all,baseline,direct,all,1,8,6.515625,6.15625,6.8125
numeric-n10000-p128,numeric,10000,128,128,serial_direct_load,baseline,direct,load,1,8,4.890625,4.53125,5.28125
numeric-n10000-p8,numeric,10000,8,8,current_all,baseline,current,all,0,8,0.9821428571428572,0.9553571428571429,1.0892857142857142
numeric-n10000-p8,numeric,10000,8,8,current_datasig,baseline,current,datasig,0,8,2.0546875,2.015625,2.25
numeric-n10000-p8,numeric,10000,8,8,current_fraction,baseline,current,fraction,0,8,1.890625,1.828125,2.21875
numeric-n10000-p8,numeric,10000,8,1,current_known5_fraction,baseline,current,known5_fraction,0,8,1.8125,1.75,2.1875
numeric-n10000-p8,numeric,10000,8,8,current_load,baseline,current,load,0,8,0.84375,0.828125,0.9453125
numeric-n10000-p8,numeric,10000,8,8,deferred_all,numeric_snapshot,direct,all,0,8,0.8515625,0.84375,0.9765625
numeric-n10000-p8,numeric,10000,8,8,deferred_current_load,numeric_snapshot,current,load,0,8,0.634375,0.625,0.7437499999999999
numeric-n10000-p8,numeric,10000,8,8,deferred_datasig,numeric_snapshot,direct,datasig,0,8,1.890625,1.84375,2.078125
numeric-n10000-p8,numeric,10000,8,8,deferred_fraction,numeric_snapshot,direct,fraction,0,8,2.489583333333333,2.375,2.8958333333333335
numeric-n10000-p8,numeric,10000,8,1,deferred_known5_fraction,numeric_snapshot,direct,known5_fraction,0,8,2.59375,2.5416666666666665,2.9999999999999996
numeric-n10000-p8,numeric,10000,8,8,deferred_load,numeric_snapshot,direct,load,0,8,0.42578125,0.3828125,0.49609375
numeric-n10000-p8,numeric,10000,8,8,direct_all,baseline,direct,all,0,8,0.778125,0.75,0.86875
numeric-n10000-p8,numeric,10000,8,8,direct_datasig,baseline,direct,datasig,0,8,1.84375,1.8125,2.0625
numeric-n10000-p8,numeric,10000,8,8,direct_fraction,baseline,direct,fraction,0,8,1.6875,1.640625,2.015625
