case,family,rows,columns,required_columns,method,n,median_ms,min_ms,max_ms,ratio_to_current_dibble,ratio_to_stata_full
numeric-n10000-p8,numeric,10000,8,1,known5,8,0.5537109375,0.55078125,0.578125,0.8325991189427311,9.86086956521739
numeric-n10000-p8,numeric,10000,8,1,known_all,8,0.8193359375,0.8046875,0.83984375,1.2320117474302494,14.591304347826085
numeric-n10000-p8,numeric,10000,8,1,stata_full,8,0.05615234375,0.055908203125,0.0565185546875,0.08443465491923642,1.0
numeric-n10000-p8,numeric,10000,8,1,stata_projected,8,0.19804687499999998,0.1953125,0.2,0.2977973568281938,3.52695652173913
mixed-n10000-p8,mixed,10000,8,1,dibble,8,0.841796875,0.82421875,0.87109375,1.0,13.12690355329949
mixed-n10000-p8,mixed,10000,8,1,tibble,8,0.70703125,0.68359375,0.73046875,0.839907192575406,11.025380710659896
mixed-n10000-p8,mixed,10000,8,1,skip_type_capture,8,0.7861328124999999,0.765625,0.80859375,0.9338747099767981,12.258883248730962
mixed-n10000-p8,mixed,10000,8,1,skip_prepare_type_capture,8,0.71875,0.697265625,0.73828125,0.8538283062645011,11.208121827411166
mixed-n10000-p8,mixed,10000,8,1,direct,8,0.6728515625,0.65234375,0.70703125,0.7993039443155453,10.49238578680203
mixed-n10000-p8,mixed,10000,8,1,known5,8,0.5576171875,0.552734375,0.580078125,0.6624129930394431,8.695431472081216
mixed-n10000-p8,mixed,10000,8,1,known_all,8,1.0010416666666666,0.9729166666666668,1.0270833333333333,1.1891724671307038,15.610152284263956
mixed-n10000-p8,mixed,10000,8,1,stata_full,8,0.06412760416666669,0.06393229166666665,0.068359375,0.07617942768754835,1.0
mixed-n10000-p8,mixed,10000,8,1,stata_projected,8,0.20898437500000003,0.20390625,0.22265624999999997,0.24825986078886314,3.2588832487309642
short_low-n10000-p8,short_low,10000,8,1,dibble,8,1.943359375,1.88671875,1.97265625,1.0,14.578754578754578
short_low-n10000-p8,short_low,10000,8,1,tibble,8,1.78125,1.715277777777778,1.8541666666666667,0.9165829145728643,13.362637362637361
short_low-n10000-p8,short_low,10000,8,1,skip_type_capture,8,1.7951388888888888,1.7569444444444444,1.8958333333333335,0.9237297599106644,13.466829466829466
short_low-n10000-p8,short_low,10000,8,1,skip_prepare_type_capture,8,1.7326388888888888,1.7083333333333335,1.8194444444444444,0.8915689558905638,12.997964997964996
short_low-n10000-p8,short_low,10000,8,1,direct,8,1.6875000000000002,1.65,1.775,0.8683417085427136,12.65934065934066
short_low-n10000-p8,short_low,10000,8,1,known5,8,0.759765625,0.75,0.78515625,0.39095477386934674,5.6996336996337
short_low-n10000-p8,short_low,10000,8,1,known_all,8,2.078125,2.0390625,2.1953125,1.0693467336683418,15.58974358974359
short_low-n10000-p8,short_low,10000,8,1,stata_full,8,0.13330078125,0.130859375,0.1494140625,0.06859296482412061,1.0
short_low-n10000-p8,short_low,10000,8,1,stata_projected,8,0.25634765625,0.2529296875,0.265625,0.13190954773869348,1.923076923076923
short_high-n10000-p8,short_high,10000,8,1,dibble,8,4.796875,4.5625,5.109375,1.0,36.30834213305174
short_high-n10000-p8,short_high,10000,8,1,tibble,8,4.5125,4.325,4.8500000000000005,0.9407166123778502,34.1558606124604
short_high-n10000-p8,short_high,10000,8,1,skip_type_capture,8,4.55,4.4375,4.612500000000001,0.9485342019543974,34.439704329461456
short_high-n10000-p8,short_high,10000,8,1,skip_prepare_type_capture,8,4.59375,3.475,4.725,0.9576547231270358,34.77085533262935
short_high-n10000-p8,short_high,10000,8,1,direct,8,4.03125,3.6499999999999995,4.6625,0.8403908794788274,30.513199577613516
short_high-n10000-p8,short_high,10000,8,1,known5,8,1.0791666666666666,1.0708333333333333,1.1749999999999998,0.2249728555917481,8.168391411474833
short_high-n10000-p8,short_high,10000,8,1,known_all,8,4.6875,4.515625,4.984375,0.9771986970684039,35.480464625131994
short_high-n10000-p8,short_high,10000,8,1,stata_full,8,0.13211495535714285,0.13058035714285715,0.13420758928571427,0.027541879944160075,1.0
short_high-n10000-p8,short_high,10000,8,1,stata_projected,8,0.25830078125,0.2509765625,0.3232421875,0.053847719869706843,1.9551214361140443
numeric-n1000-p128,numeric,1000,128,7,dibble,8,2.263392857142857,2.25,2.419642857142857,1.0,34.285714285714285
numeric-n1000-p128,numeric,1000,128,7,tibble,8,1.634375,1.6125,1.7125000000000001,0.7220907297830375,24.757396449704142
numeric-n1000-p128,numeric,1000,128,7,skip_type_capture,8,1.82421875,1.7890625,1.859375,0.805966469428008,27.633136094674562
numeric-n1000-p128,numeric,1000,128,7,skip_prepare_type_capture,8,1.6875000000000002,1.65,1.7624999999999997,0.7455621301775149,25.5621301775148
numeric-n1000-p128,numeric,1000,128,7,direct,8,1.29296875,1.2708333333333333,1.3255208333333333,0.5712524654832347,19.58579881656805
numeric-n1000-p128,numeric,1000,128,7,known5,8,0.7431640625,0.73828125,0.775390625,0.32834072978303747,11.257396449704144
numeric-n1000-p128,numeric,1000,128,7,known_all,8,2.5446428571428568,2.526785714285714,2.6607142857142856,1.1242603550295858,38.54606931530009
numeric-n1000-p128,numeric,1000,128,7,stata_full,8,0.066015625,0.065625,0.06640625,0.029166666666666664,1.0
numeric-n1000-p128,numeric,1000,128,7,stata_projected,8,0.06975446428571429,0.06808035714285714,0.07170758928571429,0.03081854043392505,1.0566356720202874
mixed-n1000-p128,mixed,1000,128,7,dibble,8,2.8125,2.7395833333333335,2.9062500000000004,1.0,41.45873320537427
mixed-n1000-p128,mixed,1000,128,7,tibble,8,1.99609375,1.9921875,2.0703125,0.7097222222222223,29.424184261036466
mixed-n1000-p128,mixed,1000,128,7,skip_type_capture,8,2.223214285714286,2.165178571428571,2.272321428571429,0.7904761904761906,32.772141486153
mixed-n1000-p128,mixed,1000,128,7,skip_prepare_type_capture,8,2.0078125,1.984375,2.0859375,0.7138888888888889,29.596928982725526
mixed-n1000-p128,mixed,1000,128,7,direct,8,1.6562500000000002,1.61875,1.7312500000000002,0.588888888888889,24.414587332053742
mixed-n1000-p128,mixed,1000,128,7,known5,8,0.7724609375,0.767578125,0.8046875,0.2746527777777778,11.386756238003837
mixed-n1000-p128,mixed,1000,128,7,known_all,8,3.0572916666666665,2.9999999999999996,3.354166666666667,1.087037037037037,45.06717850287907
mixed-n1000-p128,mixed,1000,128,7,stata_full,8,0.06783854166666668,0.06744791666666666,0.06875,0.024120370370370375,1.0
mixed-n1000-p128,mixed,1000,128,7,stata_projected,8,0.07096354166666667,0.07031250000000001,0.07161458333333333,0.025231481481481483,1.0460652591170825
short_low-n1000-p128,short_low,1000,128,7,dibble,8,4.9609375,4.796875,5.140625,1.0,21.452702702702705
short_low-n1000-p128,short_low,1000,128,7,tibble,8,3.5250000000000004,3.3625,3.6875,0.7105511811023623,15.243243243243246
short_low-n1000-p128,short_low,1000,128,7,skip_type_capture,8,3.6999999999999997,3.5874999999999995,3.95,0.7458267716535433,16.0
short_low-n1000-p128,short_low,1000,128,7,skip_prepare_type_capture,8,3.5000000000000004,3.4000000000000004,3.6125,0.7055118110236221,15.135135135135139
short_low-n1000-p128,short_low,1000,128,7,direct,8,3.1937500000000005,3.1,3.35,0.6437795275590552,13.810810810810814
short_low-n1000-p128,short_low,1000,128,7,known5,8,0.984375,0.96484375,1.03515625,0.1984251968503937,4.256756756756757
short_low-n1000-p128,short_low,1000,128,7,known_all,8,5.218749999999999,5.1875,5.437500000000001,1.0519685039370077,22.56756756756757
short_low-n1000-p128,short_low,1000,128,7,stata_full,8,0.23124999999999998,0.22890625,0.28046875,0.046614173228346455,1.0
short_low-n1000-p128,short_low,1000,128,7,stata_projected,8,0.17838541666666669,0.17708333333333334,0.18098958333333334,0.03595800524934383,0.7713963963963965
short_high-n1000-p128,short_high,1000,128,7,dibble,8,9.5,9.4375,10.375,1.0,41.29032258064517
short_high-n1000-p128,short_high,1000,128,7,tibble,8,8.15625,7.75,9.083333333333334,0.8585526315789475,35.44991511035654
short_high-n1000-p128,short_high,1000,128,7,skip_type_capture,8,8.421875,8.25,8.8125,0.886513157894737,36.60441426146011
short_high-n1000-p128,short_high,1000,128,7,skip_prepare_type_capture,8,8.114583333333332,7.729166666666666,8.895833333333334,0.8541666666666666,35.26881720430108
short_high-n1000-p128,short_high,1000,128,7,direct,8,7.979166666666666,7.75,8.416666666666668,0.8399122807017543,34.68024900962082
short_high-n1000-p128,short_high,1000,128,7,known5,8,1.2232142857142858,1.21875,1.3035714285714284,0.1287593984962406,5.316517099199613
short_high-n1000-p128,short_high,1000,128,7,known_all,8,10.140625,9.96875,10.78125,1.067434210526316,44.074702886247884
short_high-n1000-p128,short_high,1000,128,7,stata_full,8,0.23007812499999997,0.22890625,0.23203124999999997,0.024218749999999997,1.0
short_high-n1000-p128,short_high,1000,128,7,stata_projected,8,0.17838541666666669,0.17708333333333334,0.17903645833333334,0.018777412280701754,0.7753254102999435
numeric-n10000-p128,numeric,10000,128,7,dibble,8,3.5624999999999996,3.4000000000000004,3.6875,1.0,7.25248508946322
numeric-n10000-p128,numeric,10000,128,7,tibble,8,2.8333333333333335,2.8020833333333335,2.9374999999999996,0.7953216374269008,5.768058316766071
numeric-n10000-p128,numeric,10000,128,7,skip_type_capture,8,3.046875,3.0104166666666665,3.1562499999999996,0.855263157894737,6.202783300198807
numeric-n10000-p128,numeric,10000,128,7,skip_prepare_type_capture,8,2.8333333333333335,2.8125000000000004,2.989583333333333,0.7953216374269008,5.768058316766071
numeric-n10000-p128,numeric,10000,128,7,direct,8,2.4732142857142856,2.3928571428571432,2.5446428571428568,0.6942355889724311,5.034933257597273
numeric-n10000-p128,numeric,10000,128,7,known5,8,1.173076923076923,1.1658653846153846,1.204326923076923,0.3292847503373819,2.388132742009481
numeric-n10000-p128,numeric,10000,128,7,known_all,8,3.875,3.6999999999999997,4.025,1.087719298245614,7.888667992047713
numeric-n10000-p128,numeric,10000,128,7,stata_full,8,0.4912109375,0.48828125,0.5,0.13788377192982457,1.0
numeric-n10000-p128,numeric,10000,128,7,stata_projected,8,0.546875,0.537109375,0.560546875,0.1535087719298246,1.1133200795228628
mixed-n10000-p128,mixed,10000,128,7,dibble,8,4.4296875,4.203125,4.46875,1.0,8.384473197781885
mixed-n10000-p128,mixed,10000,128,7,tibble,8,3.5125,3.3625,3.7124999999999995,0.7929453262786597,6.648428835489833
mixed-n10000-p128,mixed,10000,128,7,skip_type_capture,8,3.6374999999999997,3.5249999999999995,3.875,0.8211640211640212,6.885027726432531
mixed-n10000-p128,mixed,10000,128,7,skip_prepare_type_capture,8,3.4937500000000004,3.3375000000000004,3.6875,0.7887125220458555,6.612939001848429
mixed-n10000-p128,mixed,10000,128,7,direct,8,3.09375,2.989583333333333,3.2083333333333335,0.6984126984126985,5.8558225508317925
mixed-n10000-p128,mixed,10000,128,7,known5,8,1.3650568181818181,1.3551136363636362,1.4232954545454546,0.30816097482764154,2.5837674340446983
mixed-n10000-p128,mixed,10000,128,7,known_all,8,4.7109375,4.515625,4.78125,1.0634920634920635,8.916820702402957
mixed-n10000-p128,mixed,10000,128,7,stata_full,8,0.5283203125,0.525390625,0.53515625,0.11926807760141095,1.0
mixed-n10000-p128,mixed,10000,128,7,stata_projected,8,0.57421875,0.5703125,0.578125,0.12962962962962962,1.086876155268022
short_low-n10000-p128,short_low,10000,128,7,dibble,8,7.010416666666667,6.854166666666667,7.3125,1.0,2.3087478559176677
short_low-n10000-p128,short_low,10000,128,7,tibble,8,5.59375,5.291666666666667,5.916666666666666,0.7979197622585438,1.842195540308748
short_low-n10000-p128,short_low,10000,128,7,skip_type_capture,8,5.625,5.520833333333333,5.958333333333333,0.8023774145616642,1.8524871355060037
short_low-n10000-p128,short_low,10000,128,7,skip_prepare_type_capture,8,5.510416666666667,5.416666666666667,5.812500000000001,0.786032689450223,1.8147512864494
short_low-n10000-p128,short_low,10000,128,7,direct,8,5.166666666666667,4.979166666666666,5.437500000000001,0.736998514115899,1.7015437392795887
short_low-n10000-p128,short_low,10000,128,7,known5,8,3.2625,3.15,3.3625,0.46537890044576524,1.0744425385934822
short_low-n10000-p128,short_low,10000,128,7,known_all,8,7.479166666666666,7.416666666666666,7.75,1.0668647845468053,2.463121783876501
short_low-n10000-p128,short_low,10000,128,7,stata_full,8,3.036458333333333,3.0104166666666665,3.0624999999999996,0.4331352154531946,1.0
short_low-n10000-p128,short_low,10000,128,7,stata_projected,8,1.9453125,1.875,1.9921875,0.2774888558692422,0.6406518010291596
short_high-n10000-p128,short_high,10000,128,7,dibble,8,31.82142857142857,29.571428571428573,40.28571428571428,1.0,9.636773321315907
short_high-n10000-p128,short_high,10000,128,7,tibble,8,30.0625,24.6875,34.6875,0.9447250280583614,9.104100946372238
short_high-n10000-p128,short_high,10000,128,7,skip_type_capture,8,30.9375,24.9375,34.375,0.9722222222222222,9.369085173501576
short_high-n10000-p128,short_high,10000,128,7,skip_prepare_type_capture,8,30.375,24.625,34.3125,0.9545454545454546,9.198738170347003
short_high-n10000-p128,short_high,10000,128,7,direct,8,29.406250000000004,24.0,33.0,0.9241021324354659,8.905362776025237
short_high-n10000-p128,short_high,10000,128,7,known5,8,6.1796875,6.140625,7.125,0.19419893378226713,1.8714511041009463
short_high-n10000-p128,short_high,10000,128,7,known_all,8,31.923076923076923,31.307692307692307,34.53846153846154,1.0031943365276699,9.667556418345061
short_high-n10000-p128,short_high,10000,128,7,stata_full,8,3.3020833333333335,3.25,3.3333333333333335,0.10376917321361767,1.0
short_high-n10000-p128,short_high,10000,128,7,stata_projected,8,2.2847222222222223,2.1805555555555554,2.3194444444444446,0.07179822920563662,0.6919032597266036
numeric-n1000-p1024,numeric,1000,1024,52,dibble,8,16.95,16.433333333333334,17.733333333333334,1.0,32.3820895522388
numeric-n1000-p1024,numeric,1000,1024,52,tibble,8,11.421875,10.75,12.0,0.6738569321533924,21.820895522388057
