case,scenario,Rprofmem_bytes_snapshot_median,Rprofmem_bytes_baseline_direct_median,Rprofmem_bytes_signed_delta,retained_vector_delta_bytes_snapshot_median,retained_vector_delta_bytes_baseline_direct_median,retained_vector_delta_bytes_signed_delta,released_vector_delta_bytes_snapshot_median,released_vector_delta_bytes_baseline_direct_median,released_vector_delta_bytes_signed_delta,retained_header_delta_cells_snapshot_median,retained_header_delta_cells_baseline_direct_median,retained_header_delta_cells_signed_delta,released_header_delta_cells_snapshot_median,released_header_delta_cells_baseline_direct_median,released_header_delta_cells_signed_delta,peak_RSS_bytes_snapshot_median,peak_RSS_bytes_baseline_direct_median,peak_RSS_bytes_signed_delta
pure-numeric-n1000-p8,datasig,503368.0,447616.0,55752.0,861864.0,803952.0,57912.0,717504.0,717472.0,32.0,49264.0,48182.0,1082.0,49074.0,48195.0,879.0,131661824.0,131137536.0,524288.0
pure-numeric-n1000-p8,first_value,436896.0,462816.0,-25920.0,609104.0,633088.0,-23984.0,528240.0,545680.0,-17440.0,39091.0,38985.0,106.0,38912.0,38936.0,-24.0,130891776.0,130269184.0,622592.0
pure-numeric-n1000-p8,fraction,822616.0,829544.0,-6928.0,926984.0,919576.0,7408.0,802928.0,790608.0,12320.0,54438.0,52547.0,1891.0,54206.0,52492.0,1714.0,130940928.0,130711552.0,229376.0
pure-numeric-n1000-p8,known5_fraction,772896.0,754488.0,18408.0,1217304.0,1186808.0,30496.0,1094720.0,1066120.0,28600.0,74382.0,72629.0,1753.0,74303.0,72625.0,1678.0,131727360.0,131350528.0,376832.0
pure-numeric-n1000-p8,load,435848.0,462816.0,-26968.0,566744.0,591824.0,-25080.0,487696.0,506176.0,-18480.0,36749.0,36654.0,95.0,36683.0,36709.0,-26.0,130760704.0,130252800.0,507904.0
pure-numeric-n10000-p128,all,5279032.0,5279616.0,-584.0,3457544.0,5411800.0,-1954256.0,500544.0,3319104.0,-2818560.0,42795.0,38907.0,3888.0,37536.0,37469.0,67.0,139313152.0,138870784.0,442368.0
pure-numeric-n10000-p128,datasig,13542112.0,5297752.0,8244360.0,11087592.0,5614080.0,5473512.0,727104.0,3523312.0,-2796208.0,54424.0,49958.0,4466.0,49842.0,48579.0,1263.0,157089792.0,144146432.0,12943360.0
pure-numeric-n10000-p128,first_value,461864.0,5278544.0,-4816680.0,656504.0,5443216.0,-4786712.0,543000.0,3351520.0,-2808520.0,42715.0,40761.0,1954.0,39392.0,39320.0,72.0,135905280.0,139001856.0,-3096576.0
pure-numeric-n10000-p128,fraction,1895768.0,6097336.0,-4201568.0,1184864.0,5808024.0,-4623160.0,809568.0,3597248.0,-2787680.0,58268.0,54356.0,3912.0,54708.0,52889.0,1819.0,136413184.0,140148736.0,-3735552.0
pure-numeric-n10000-p128,known5_fraction,1854040.0,1449800.0,404240.0,1438928.0,1485152.0,-46224.0,1096128.0,1206360.0,-110232.0,75043.0,73024.0,2019.0,74625.0,72934.0,1691.0,137510912.0,136347648.0,1163264.0
pure-numeric-n10000-p128,load,451816.0,5278544.0,-4826728.0,605144.0,5401952.0,-4796808.0,493456.0,3312016.0,-2818560.0,40373.0,38430.0,1943.0,37163.0,37093.0,70.0,135839744.0,138870784.0,-3031040.0
