case,method,observed_native_capture,observed_R_phase_wrappers,case_native_detail_policy,measured_samples,median_ms,min_ms,max_ms,empty_control_median_ms
07-strl_high-n1000-p4-full,r_current,False,True,"enabled capture, cap 200000; reject incomplete traces",7,14.200000034179501,14.075000013690401,14.9470000178553,0.00300002284348011
07-strl_high-n1000-p4-full,r_direct,False,True,"enabled capture, cap 200000; reject incomplete traces",7,13.926999992691,13.8429999933578,14.193999988492601,0.00300002284348011
08-strl_low-n1000-p4-full,baseline,False,False,"enabled capture, cap 200000; reject incomplete traces",7,1.89600000157952,1.8529999651946099,1.9949999987147702,0.00300002284348011
08-strl_low-n1000-p4-full,disabled,False,False,"enabled capture, cap 200000; reject incomplete traces",7,1.95700000040233,1.87500001629815,2.23300000652671,0.00399997225031257
08-strl_low-n1000-p4-full,enabled,True,False,"enabled capture, cap 200000; reject incomplete traces",7,1.9280000124126702,1.80299999192357,2.0159999839961498,0.00300002284348011
08-strl_low-n1000-p4-full,r_current,False,True,"enabled capture, cap 200000; reject incomplete traces",7,2.2530000424012497,2.22100003156811,2.52499995986,0.00399997225031257
08-strl_low-n1000-p4-full,r_direct,False,True,"enabled capture, cap 200000; reject incomplete traces",7,1.9970000139437598,1.98099995031953,2.1609999821521297,0.00399997225031257
09-short_high-n10000-p128-full,baseline,False,False,"enabled capture, cap 200000; reject incomplete traces",7,18.8309999648482,17.0670000370592,20.104000053834202,0.00399997225031257
09-short_high-n10000-p128-full,disabled,False,False,"enabled capture, cap 200000; reject incomplete traces",7,20.0520000071265,18.9860000391491,21.43799996702,0.00300002284348011
09-short_high-n10000-p128-full,enabled,True,False,"enabled capture, cap 200000; reject incomplete traces",7,18.330000049900303,17.585999972652598,20.5059999716468,0.00300002284348011
09-short_high-n10000-p128-full,r_current,False,True,"enabled capture, cap 200000; reject incomplete traces",7,20.083999959752,17.5690000178292,21.184000011999203,0.00399997225031257
09-short_high-n10000-p128-full,r_direct,False,True,"enabled capture, cap 200000; reject incomplete traces",7,15.6480000005104,14.4909999798983,16.4319999748841,0.00300002284348011
10-strl_high-n10000-p32-full,baseline,False,False,"omitted before execution as a deliberate bound on event volume and observer cost; no observed overflow or proven capacity limit, and no enabled overhead or detailed native attribution for this cell",7,209.471000009216,207.595999992918,217.199000006076,0.00399997225031257
10-strl_high-n10000-p32-full,disabled,False,False,"omitted before execution as a deliberate bound on event volume and observer cost; no observed overflow or proven capacity limit, and no enabled overhead or detailed native attribution for this cell",7,217.21299999626402,213.44899997348,224.511000036728,0.00399997225031257
10-strl_high-n10000-p32-full,r_current,False,True,"omitted before execution as a deliberate bound on event volume and observer cost; no observed overflow or proven capacity limit, and no enabled overhead or detailed native attribution for this cell",7,193.695999972988,190.406000008807,208.576000004541,0.00399997225031257
10-strl_high-n10000-p32-full,r_direct,False,True,"omitted before execution as a deliberate bound on event volume and observer cost; no observed overflow or proven capacity limit, and no enabled overhead or detailed native attribution for this cell",7,192.745999956969,188.685000000987,206.562000035774,0.00300002284348011
