"iteration","seconds","level0","level1","level2"
1,0.316140463022748,9,1,0
2,0.287711924029281,11,0,0
3,0.314975243032677,11,1,0
4,0.331029859022237,14,0,0
5,0.36088417301653,12,1,0
6,0.390410569030792,14,1,0
7,0.445625351014314,15,0,1
