"iteration","seconds","level0","level1","level2"
1,0.0822809730016161,2,1,0
2,0.103014303982491,2,0,1
3,0.101144293992547,1,1,1
4,0.100955447996967,1,1,1
5,0.101015021005878,1,1,1
6,0.101468850014498,1,1,1
7,0.100732202990912,1,1,1
