"checkpoint","n_cells_used","v_cells_used","vector_heap_bytes","gc_used_megabytes_rounded"
"prefixture",684423,1168945,9351560,45.6
"0_source_only",686910,1934808,15478464,51.5
"5",695087,2552445,20419560,56.7
"50",695168,2552758,20422064,56.7
"after_validation",695244,2552968,20423744,56.7
"source_released",695023,1792697,14341576,50.9
"result_released",686726,1174817,9398536,45.7
