run,case,reader,workload,variant,repetition,load_seconds,elapsed_seconds,workflow_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,native_before,native_after
downstream-v2,100mb-all,dta,traverse,candidate,5,0.043,0.025,0.068,0.055,371834880,0.35752199999999995,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,traverse,candidate,6,0.042,0.024,0.066,0.056,379076608,0.354939,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,traverse,baseline,6,0.046,0.025,0.071,0.052,386891776,0.358139,{},{}
downstream-v2,100mb-all,dta,first_write,baseline,1,0.046,0.001,0.112,0.002,429948928,0.39459799999999995,{},{}
downstream-v2,100mb-all,dta,first_write,candidate,1,0.043,0.002,0.108,0.001,422559744,0.377367,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,first_write,candidate,2,0.044,0.002,0.109,0.002,422789120,0.379944,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,first_write,baseline,2,0.046,0.002,0.113,0.002,433504256,0.395008,{},{}
downstream-v2,100mb-all,dta,first_write,baseline,3,0.045,0.002,0.111,0.002,430440448,0.393096,{},{}
downstream-v2,100mb-all,dta,first_write,candidate,3,0.042,0.002,0.108,0.002,422559744,0.37567199999999995,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,first_write,candidate,4,0.041,0.001,0.107,0.002,422821888,0.379698,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,first_write,baseline,4,0.046,0.002,0.112,0.002,434044928,0.39313299999999995,{},{}
downstream-v2,100mb-all,dta,first_write,baseline,5,0.046,0.002,0.112,0.001,434782208,0.388879,{},{}
downstream-v2,100mb-all,dta,first_write,candidate,5,0.043,0.002,0.109,0.001,422920192,0.382868,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,first_write,candidate,6,0.043,0.002,0.108,0.002,423526400,0.379218,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,first_write,baseline,6,0.046,0.002,0.112,0.002,429916160,0.392524,{},{}
downstream-v2,100mb-all,dta,r_vector,baseline,1,0.045,0.005,0.05,0.004,301465600,0.312198,{},{}
downstream-v2,100mb-all,dta,r_vector,candidate,1,0.041,0.004,0.046,0.006,297893888,0.300556,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,r_vector,candidate,2,0.042,0.004,0.047,0.005,298172416,0.301642,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,r_vector,baseline,2,0.045,0.005,0.05,0.006,300826624,0.318646,{},{}
downstream-v2,100mb-all,dta,r_vector,baseline,3,0.046,0.005,0.051,0.004,301973504,0.31837699999999997,{},{}
downstream-v2,100mb-all,dta,r_vector,candidate,3,0.042,0.005,0.048,0.005,298401792,0.300825,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,r_vector,candidate,4,0.043,0.004,0.048,0.004,297762816,0.305029,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,r_vector,baseline,4,0.044,0.004,0.049,0.005,297795584,0.31363599999999997,{},{}
downstream-v2,100mb-all,dta,r_vector,baseline,5,0.045,0.005,0.05,0.005,301367296,0.31302199999999997,{},{}
downstream-v2,100mb-all,dta,r_vector,candidate,5,0.042,0.004,0.047,0.005,298254336,0.303677,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,r_vector,candidate,6,0.044,0.004,0.048,0.004,298401792,0.30297399999999997,"{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}","{""owned"": 0, ""rows"": 231956, ""chunks"": 0, ""native_bytes"": 0, ""live_owners"": 0, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,dta,r_vector,baseline,6,0.046,0.005,0.051,0.004,302317568,0.31882299999999997,{},{}
downstream-v2,100mb-all,arrow,sparse,baseline,1,0.029,0.006,0.035,0.006,379092992,0.272526,{},{}
downstream-v2,100mb-all,arrow,sparse,candidate,1,0.029,0.012,0.041,0.011,364412928,0.27566599999999997,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,sparse,candidate,2,0.03,0.012,0.042,0.012,363806720,0.276517,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
downstream-v2,100mb-all,arrow,sparse,baseline,2,0.029,0.006,0.035,0.006,381583360,0.272153,{},{}
downstream-v2,100mb-all,arrow,sparse,baseline,3,0.029,0.006,0.035,0.006,383074304,0.274443,{},{}
downstream-v2,100mb-all,arrow,sparse,candidate,3,0.031,0.012,0.043,0.011,367558656,0.278524,"{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}","{""owned"": 1, ""rows"": 231956, ""chunks"": 4, ""native_bytes"": 14845184, ""live_owners"": 21, ""compatibility_bytes"": 0}"
