run,case,selection_mode,mode,cohort,repetition,position,method,elapsed_seconds,cpu_seconds,peak_rss_bytes,process_cpu_seconds,calls
screen-arrow-bounded,india-all,all,fresh,1,5,2,baseline-dta,0.757,5.373,5235195904,5.576006,
screen-arrow-bounded,india-all,all,fresh,1,5,3,baseline-arrow,0.568,4.527,10280976384,4.738592,
screen-arrow-bounded,india-all,all,fresh,1,5,4,candidate-dta,0.753,5.353,5236932608,5.557412,
screen-arrow-bounded,india-all,all,fresh,1,5,5,candidate-arrow,0.575,4.484,10281615360,4.707722,
screen-arrow-bounded,india-all,all,fresh,1,6,1,stata,0.475,,5256790016,0.510524,
screen-arrow-bounded,india-all,all,fresh,1,6,2,candidate-arrow,0.576,4.527,10283876352,4.747351,
screen-arrow-bounded,india-all,all,fresh,1,6,3,candidate-dta,0.753,5.327,5234933760,5.529182,
screen-arrow-bounded,india-all,all,fresh,1,6,4,baseline-arrow,0.572,4.57,10281336832,4.780517,
screen-arrow-bounded,india-all,all,fresh,1,6,5,baseline-dta,0.763,5.349,5234409472,5.553802,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,1,baseline-dta,0.265,0.338,232194048,0.506528,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,2,baseline-arrow,0.07,0.094,265994240,0.258341,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,3,candidate-dta,0.272,0.347,232308736,0.512157,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,4,candidate-arrow,0.071,0.094,267911168,0.25832099999999997,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,1,5,stata,0.317,,80855040,0.332829,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,1,baseline-arrow,0.073,0.094,266158080,0.259354,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,2,candidate-dta,0.264,0.338,232243200,0.501825,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,3,candidate-arrow,0.07,0.093,265748480,0.256202,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,4,stata,0.316,,80871424,0.332074,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,2,5,baseline-dta,0.264,0.339,232144896,0.50337,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,1,candidate-dta,0.265,0.338,232161280,0.5010239999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,2,candidate-arrow,0.071,0.094,266223616,0.257316,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,3,stata,0.313,,80953344,0.329129,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,4,baseline-dta,0.265,0.338,232275968,0.502597,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,3,5,baseline-arrow,0.072,0.093,264830976,0.25673,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,1,candidate-arrow,0.071,0.09,265912320,0.254226,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,2,stata,0.316,,81002496,0.332343,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,3,baseline-dta,0.268,0.342,232325120,0.5064569999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,4,baseline-arrow,0.071,0.094,268304384,0.257744,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,4,5,candidate-dta,0.264,0.337,233734144,0.5008779999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,1,stata,0.316,,80969728,0.33214899999999997,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,2,baseline-dta,0.264,0.337,231997440,0.5020169999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,3,baseline-arrow,0.07,0.094,265715712,0.257668,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,4,candidate-dta,0.265,0.339,232194048,0.5033559999999999,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,5,5,candidate-arrow,0.072,0.093,266174464,0.258923,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,1,stata,0.316,,80920576,0.332733,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,2,candidate-arrow,0.071,0.092,264716288,0.25615,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,3,candidate-dta,0.266,0.34,232112128,0.504587,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,4,baseline-arrow,0.071,0.094,266010624,0.257816,
screen-arrow-bounded,india-30-scattered-known,known,fresh,1,6,5,baseline-dta,0.264,0.337,232177664,0.49999999999999994,
screen-arrow-bounded,mixed-all,all,fresh,1,1,1,baseline-dta,0.017,0.021,108462080,0.177554,
screen-arrow-bounded,mixed-all,all,fresh,1,1,2,baseline-arrow,0.016,0.021,110952448,0.17823399999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,1,3,candidate-dta,0.017,0.021,108806144,0.177109,
screen-arrow-bounded,mixed-all,all,fresh,1,1,4,candidate-arrow,0.017,0.021,111247360,0.177363,
screen-arrow-bounded,mixed-all,all,fresh,1,1,5,stata,0.001,,40550400,0.01679,
screen-arrow-bounded,mixed-all,all,fresh,1,2,1,baseline-arrow,0.017,0.021,111263744,0.18212299999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,2,2,candidate-dta,0.018,0.022,108806144,0.178282,
screen-arrow-bounded,mixed-all,all,fresh,1,2,3,candidate-arrow,0.017,0.023,111165440,0.17995799999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,2,4,stata,0.001,,40402944,0.016718999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,2,5,baseline-dta,0.017,0.023,111001600,0.178796,
screen-arrow-bounded,mixed-all,all,fresh,1,3,1,candidate-dta,0.018,0.021,108904448,0.17820599999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,3,2,candidate-arrow,0.017,0.022,111099904,0.17931299999999997,
screen-arrow-bounded,mixed-all,all,fresh,1,3,3,stata,0.001,,40468480,0.0167,
screen-arrow-bounded,mixed-all,all,fresh,1,3,4,baseline-dta,0.017,0.021,108412928,0.17785199999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,3,5,baseline-arrow,0.016,0.022,111067136,0.17785,
screen-arrow-bounded,mixed-all,all,fresh,1,4,1,candidate-arrow,0.016,0.023,111329280,0.178708,
screen-arrow-bounded,mixed-all,all,fresh,1,4,2,stata,0.001,,40468480,0.016639,
screen-arrow-bounded,mixed-all,all,fresh,1,4,3,baseline-dta,0.018,0.021,108412928,0.177972,
screen-arrow-bounded,mixed-all,all,fresh,1,4,4,baseline-arrow,0.017,0.022,111050752,0.17754699999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,4,5,candidate-dta,0.017,0.021,108855296,0.17741200000000001,
screen-arrow-bounded,mixed-all,all,fresh,1,5,1,stata,0.001,,40468480,0.016732999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,5,2,baseline-dta,0.017,0.021,108625920,0.17795999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,5,3,baseline-arrow,0.017,0.022,111165440,0.178279,
screen-arrow-bounded,mixed-all,all,fresh,1,5,4,candidate-dta,0.017,0.022,108806144,0.177888,
screen-arrow-bounded,mixed-all,all,fresh,1,5,5,candidate-arrow,0.016,0.022,111345664,0.17703199999999997,
screen-arrow-bounded,mixed-all,all,fresh,1,6,1,stata,0.001,,40599552,0.016458999999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,6,2,candidate-arrow,0.016,0.021,111329280,0.17710299999999998,
screen-arrow-bounded,mixed-all,all,fresh,1,6,3,candidate-dta,0.017,0.022,108773376,0.17843,
screen-arrow-bounded,mixed-all,all,fresh,1,6,4,baseline-arrow,0.016,0.022,111247360,0.178641,
screen-arrow-bounded,mixed-all,all,fresh,1,6,5,baseline-dta,0.017,0.022,108412928,0.176937,
screen-arrow-copy,100mb-all,all,fresh,1,1,1,baseline-dta,0.048,0.143,295141376,0.32494399999999996,
screen-arrow-copy,100mb-all,all,fresh,1,1,2,baseline-arrow,0.03,0.097,378470400,0.28007499999999996,
screen-arrow-copy,100mb-all,all,fresh,1,1,3,candidate-dta,0.048,0.146,294273024,0.327547,
screen-arrow-copy,100mb-all,all,fresh,1,1,4,candidate-arrow,0.032,0.1,383172608,0.282427,
screen-arrow-copy,100mb-all,all,fresh,1,1,5,stata,0.01,,144670720,0.026011,
screen-arrow-copy,100mb-all,all,fresh,1,2,1,baseline-arrow,0.032,0.1,381550592,0.283024,
screen-arrow-copy,100mb-all,all,fresh,1,2,2,candidate-dta,0.049,0.148,291749888,0.330038,
screen-arrow-copy,100mb-all,all,fresh,1,2,3,candidate-arrow,0.03,0.096,378028032,0.278175,
screen-arrow-copy,100mb-all,all,fresh,1,2,4,stata,0.011,,144605184,0.026033,
screen-arrow-copy,100mb-all,all,fresh,1,2,5,baseline-dta,0.048,0.142,296615936,0.32357199999999997,
screen-arrow-copy,100mb-all,all,fresh,1,3,1,candidate-dta,0.049,0.148,293109760,0.32889199999999996,
screen-arrow-copy,100mb-all,all,fresh,1,3,2,candidate-arrow,0.031,0.098,378421248,0.28129699999999996,
screen-arrow-copy,100mb-all,all,fresh,1,3,3,stata,0.01,,144670720,0.026225,
screen-arrow-copy,100mb-all,all,fresh,1,3,4,baseline-dta,0.047,0.146,292241408,0.32780699999999996,
screen-arrow-copy,100mb-all,all,fresh,1,3,5,baseline-arrow,0.03,0.097,381288448,0.279566,
screen-arrow-copy,100mb-all,all,fresh,1,4,1,candidate-arrow,0.03,0.096,377012224,0.279146,
screen-arrow-copy,100mb-all,all,fresh,1,4,2,stata,0.01,,144588800,0.025993,
screen-arrow-copy,100mb-all,all,fresh,1,4,3,baseline-dta,0.048,0.147,293273600,0.32794599999999996,
screen-arrow-copy,100mb-all,all,fresh,1,4,4,baseline-arrow,0.032,0.099,379764736,0.281088,
screen-arrow-copy,100mb-all,all,fresh,1,4,5,candidate-dta,0.047,0.145,296222720,0.32676099999999997,
screen-arrow-copy,100mb-all,all,fresh,1,5,1,stata,0.01,,144588800,0.026139,
screen-arrow-copy,100mb-all,all,fresh,1,5,2,baseline-dta,0.048,0.147,291323904,0.329005,
screen-arrow-copy,100mb-all,all,fresh,1,5,3,baseline-arrow,0.035,0.107,380633088,0.29203999999999997,
screen-arrow-copy,100mb-all,all,fresh,1,5,4,candidate-dta,0.047,0.144,293732352,0.324496,
screen-arrow-copy,100mb-all,all,fresh,1,5,5,candidate-arrow,0.032,0.097,381108224,0.279962,
screen-arrow-copy,100mb-all,all,fresh,1,6,1,stata,0.01,,144605184,0.02606,
screen-arrow-copy,100mb-all,all,fresh,1,6,2,candidate-arrow,0.031,0.102,382763008,0.284905,
screen-arrow-copy,100mb-all,all,fresh,1,6,3,candidate-dta,0.048,0.144,297025536,0.32507,
screen-arrow-copy,100mb-all,all,fresh,1,6,4,baseline-arrow,0.032,0.098,380190720,0.28130099999999997,
screen-arrow-copy,100mb-all,all,fresh,1,6,5,baseline-dta,0.047,0.143,292372480,0.32601600000000003,
screen-arrow-copy,india-all,all,fresh,1,1,1,baseline-dta,0.743,5.301,5233065984,5.503958000000001,
screen-arrow-copy,india-all,all,fresh,1,1,2,baseline-arrow,0.57,4.406,10279075840,4.618577999999999,
screen-arrow-copy,india-all,all,fresh,1,1,3,candidate-dta,0.749,5.236,5237440512,5.439521,
screen-arrow-copy,india-all,all,fresh,1,1,4,candidate-arrow,0.533,3.877,10280599552,4.086067,
screen-arrow-copy,india-all,all,fresh,1,1,5,stata,0.476,,5256822784,0.5103519999999999,
screen-arrow-copy,india-all,all,fresh,1,2,1,baseline-arrow,0.571,4.392,10278322176,4.602883,
screen-arrow-copy,india-all,all,fresh,1,2,2,candidate-dta,0.748,5.277,5237374976,5.483651,
screen-arrow-copy,india-all,all,fresh,1,2,3,candidate-arrow,0.532,3.871,10277928960,4.09115,
screen-arrow-copy,india-all,all,fresh,1,2,4,stata,0.471,,5256806400,0.5027889999999999,
screen-arrow-copy,india-all,all,fresh,1,2,5,baseline-dta,0.745,5.301,5236883456,5.5030719999999995,
screen-arrow-copy,india-all,all,fresh,1,3,1,candidate-dta,0.746,5.327,5235982336,5.529865000000001,
screen-arrow-copy,india-all,all,fresh,1,3,2,candidate-arrow,0.54,3.824,10280517632,4.034664,
screen-arrow-copy,india-all,all,fresh,1,3,3,stata,0.472,,5256724480,0.5028779999999999,
screen-arrow-copy,india-all,all,fresh,1,3,4,baseline-dta,0.754,5.387,5232230400,5.589387,
screen-arrow-copy,india-all,all,fresh,1,3,5,baseline-arrow,0.569,4.52,10278895616,4.742061,
screen-arrow-copy,india-all,all,fresh,1,4,1,candidate-arrow,0.533,3.862,10279649280,4.072926,
screen-arrow-copy,india-all,all,fresh,1,4,2,stata,0.472,,5256773632,0.503697,
screen-arrow-copy,india-all,all,fresh,1,4,3,baseline-dta,0.756,5.324,5237751808,5.526028999999999,
screen-arrow-copy,india-all,all,fresh,1,4,4,baseline-arrow,0.568,4.46,10278813696,4.680332,
screen-arrow-copy,india-all,all,fresh,1,4,5,candidate-dta,0.745,5.288,5238374400,5.490456,
screen-arrow-copy,india-all,all,fresh,1,5,1,stata,0.474,,5256888320,0.5051,
screen-arrow-copy,india-all,all,fresh,1,5,2,baseline-dta,0.752,5.397,5237522432,5.600592000000001,
screen-arrow-copy,india-all,all,fresh,1,5,3,baseline-arrow,0.572,4.462,10278305792,4.68248,
screen-arrow-copy,india-all,all,fresh,1,5,4,candidate-dta,0.754,5.393,5238046720,5.595839,
screen-arrow-copy,india-all,all,fresh,1,5,5,candidate-arrow,0.533,3.883,10279714816,4.103382,
screen-arrow-copy,india-all,all,fresh,1,6,1,stata,0.472,,5256839168,0.504561,
screen-arrow-copy,india-all,all,fresh,1,6,2,candidate-arrow,0.531,3.913,10279583744,4.1254159999999995,
screen-arrow-copy,india-all,all,fresh,1,6,3,candidate-dta,0.75,5.283,5236948992,5.4903569999999995,
screen-arrow-copy,india-all,all,fresh,1,6,4,baseline-arrow,0.572,4.509,10278305792,4.719887,
screen-arrow-copy,india-all,all,fresh,1,6,5,baseline-dta,0.75,5.293,5239701504,5.495734,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,1,1,baseline-dta,0.264,0.338,232046592,0.503134,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,1,2,baseline-arrow,0.071,0.093,265830400,0.256801,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,1,3,candidate-dta,0.265,0.338,232177664,0.503127,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,1,4,candidate-arrow,0.071,0.09,265928704,0.25371099999999996,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,1,5,stata,0.318,,80986112,0.333628,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,2,1,baseline-arrow,0.071,0.093,265764864,0.257077,
screen-arrow-copy,india-30-scattered-known,known,fresh,1,2,2,candidate-dta,0.266,0.339,232128512,0.503306,
