run,case,reader,workload,variant,median_elapsed_seconds,min_elapsed_seconds,max_elapsed_seconds,median_load_seconds,min_load_seconds,max_load_seconds,median_workflow_seconds,min_workflow_seconds,max_workflow_seconds,median_cpu_seconds,min_cpu_seconds,max_cpu_seconds,median_peak_rss_bytes,min_peak_rss_bytes,max_peak_rss_bytes
downstream-v2,india-all,arrow,first_write,baseline,0.031,0.031,0.032,0.5705,0.565,0.573,1.0550000000000002,1.034,1.067,0.031,0.031,0.031,13394247680.0,12289212416,13449805824
downstream-v2,india-all,arrow,first_write,candidate,0.011,0.01,0.011,0.289,0.288,0.291,0.512,0.509,0.515,0.011,0.01,0.012,5512404992.0,5509611520,5513887744
downstream-v2,india-all,arrow,r_vector,baseline,0.013,0.013,0.014,0.5714999999999999,0.565,0.576,0.591,0.585,0.596,0.0135,0.013,0.015,10290495488.0,10289020928,10291838976
downstream-v2,india-all,arrow,r_vector,candidate,0.017,0.016,0.017,0.288,0.287,0.291,0.308,0.307,0.312,0.0165,0.015,0.018,5402222592.0,5400248320,5410603008
downstream-v2,india-30-scattered-known,dta,sparse,baseline,0.025,0.025,0.026,0.2645,0.264,0.267,0.2905,0.29,0.292,0.026,0.025,0.026,230998016.0,230866944,231096320
downstream-v2,india-30-scattered-known,dta,sparse,candidate,0.028999999999999998,0.028,0.031,0.271,0.27,0.273,0.3015,0.298,0.303,0.0285,0.028,0.031,232300544.0,232161280,232325120
downstream-v2,india-30-scattered-known,dta,traverse,baseline,0.012,0.012,0.012,0.264,0.263,0.265,0.276,0.276,0.277,0.015,0.014,0.015,249438208.0,249364480,249888768
downstream-v2,india-30-scattered-known,dta,traverse,candidate,0.012,0.012,0.013,0.2715,0.27,0.275,0.2845,0.282,0.288,0.015,0.015,0.016,248619008.0,248414208,251428864
downstream-v2,india-30-scattered-known,dta,first_write,baseline,0.001,0.001,0.002,0.2645,0.264,0.267,0.3155,0.314,0.318,0.002,0.001,0.002,319135744.0,318865408,321880064
downstream-v2,india-30-scattered-known,dta,first_write,candidate,0.0015,0.001,0.002,0.2715,0.271,0.275,0.3225,0.321,0.326,0.001,0.001,0.002,310149120.0,309985280,310378496
downstream-v2,india-30-scattered-known,dta,r_vector,baseline,0.0155,0.015,0.016,0.2645,0.264,0.265,0.28,0.28,0.282,0.015,0.014,0.017,245432320.0,245350400,247382016
downstream-v2,india-30-scattered-known,dta,r_vector,candidate,0.015,0.015,0.016,0.271,0.27,0.273,0.286,0.285,0.289,0.015,0.014,0.016,236027904.0,235995136,236290048
downstream-v2,india-30-scattered-known,arrow,sparse,baseline,0.041,0.041,0.042,0.061,0.06,0.061,0.103,0.102,0.103,0.0415,0.041,0.042,265379840.0,264683520,269516800
downstream-v2,india-30-scattered-known,arrow,sparse,candidate,0.067,0.067,0.07,0.061,0.061,0.062,0.129,0.128,0.131,0.0675,0.066,0.07,242360320.0,242302976,242647040
downstream-v2,india-30-scattered-known,arrow,traverse,baseline,0.028,0.027,0.028,0.061,0.06,0.062,0.089,0.088,0.09,0.03,0.029,0.031,280453120.0,279412736,283099136
downstream-v2,india-30-scattered-known,arrow,traverse,candidate,0.028,0.027,0.028,0.061,0.06,0.062,0.089,0.088,0.09,0.031,0.029,0.033,257867776.0,257310720,258850816
downstream-v2,india-30-scattered-known,arrow,first_write,baseline,0.002,0.002,0.002,0.0605,0.06,0.061,0.109,0.107,0.109,0.001,0.001,0.002,332070912.0,331448320,336773120
downstream-v2,india-30-scattered-known,arrow,first_write,candidate,0.001,0.001,0.002,0.061,0.061,0.061,0.108,0.108,0.108,0.001,0.001,0.001,306184192.0,306118656,307855360
downstream-v2,india-30-scattered-known,arrow,r_vector,baseline,0.015,0.015,0.016,0.0605,0.06,0.061,0.076,0.076,0.077,0.015,0.014,0.016,281059328.0,279298048,282738688
downstream-v2,india-30-scattered-known,arrow,r_vector,candidate,0.0195,0.018,0.022,0.061,0.06,0.061,0.081,0.079,0.083,0.02,0.018,0.021,257056768.0,256950272,257277952
downstream-v2,mixed-all,dta,sparse,baseline,0.002,0.002,0.002,0.004,0.004,0.005,0.007,0.006,0.007,0.002,0.002,0.002,108298240.0,108232704,108511232
downstream-v2,mixed-all,dta,sparse,candidate,0.002,0.002,0.002,0.004,0.004,0.005,0.006,0.006,0.007,0.002,0.002,0.002,108363776.0,108298240,108429312
downstream-v2,mixed-all,dta,traverse,baseline,0.03,0.029,0.031,0.004,0.004,0.005,0.0345,0.034,0.035,0.0335,0.033,0.034,114049024.0,113655808,114130944
downstream-v2,mixed-all,dta,traverse,candidate,0.03,0.03,0.03,0.004,0.004,0.005,0.034,0.034,0.035,0.033,0.032,0.033,114221056.0,113917952,114360320
downstream-v2,mixed-all,dta,first_write,baseline,0.002,0.001,0.002,0.004,0.004,0.005,0.02,0.02,0.022,0.002,0.001,0.002,113451008.0,113328128,113606656
downstream-v2,mixed-all,dta,first_write,candidate,0.002,0.001,0.002,0.004,0.004,0.004,0.02,0.02,0.02,0.002,0.001,0.002,112615424.0,112508928,112721920
downstream-v2,mixed-all,dta,r_vector,baseline,0.0005,0,0.001,0.004,0.004,0.005,0.005,0.005,0.006,0.0005,0,0.001,108453888.0,108347392,108593152
downstream-v2,mixed-all,dta,r_vector,candidate,0.0,0,0.001,0.004,0.004,0.004,0.005,0.005,0.005,0.0,0,0.001,108396544.0,108298240,111034368
downstream-v2,mixed-all,arrow,sparse,baseline,0.002,0.001,0.002,0.003,0.003,0.004,0.006,0.005,0.006,0.002,0.001,0.002,110796800.0,110624768,110854144
downstream-v2,mixed-all,arrow,sparse,candidate,0.002,0.002,0.002,0.005,0.004,0.005,0.007,0.007,0.007,0.002,0.002,0.003,108339200.0,108232704,108544000
downstream-v2,mixed-all,arrow,traverse,baseline,0.03,0.03,0.031,0.003,0.003,0.004,0.034,0.033,0.034,0.033,0.032,0.034,113491968.0,113262592,113967104
downstream-v2,mixed-all,arrow,traverse,candidate,0.03,0.03,0.03,0.005,0.005,0.005,0.035500000000000004,0.035,0.036,0.033,0.032,0.034,110616576.0,110428160,112459776
downstream-v2,mixed-all,arrow,first_write,baseline,0.002,0.001,0.002,0.004,0.003,0.004,0.02,0.019,0.02,0.002,0.001,0.002,113483776.0,112361472,113541120
downstream-v2,mixed-all,arrow,first_write,candidate,0.002,0.001,0.002,0.005,0.004,0.005,0.02,0.02,0.021,0.002,0.001,0.003,108929024.0,108740608,109002752
downstream-v2,mixed-all,arrow,r_vector,baseline,0.0,0,0.001,0.0035,0.003,0.004,0.004,0.004,0.005,0.001,0,0.001,110731264.0,110690304,110886912
downstream-v2,mixed-all,arrow,r_vector,candidate,0.001,0,0.001,0.005,0.004,0.005,0.006,0.005,0.006,0.001,0,0.001,108470272.0,108347392,108560384
downstream-v3,100mb-all,dta,sparse,baseline,0.006,0.006,0.006,0.046,0.044,0.046,0.052,0.051,0.053,0.006,0.006,0.006,294182912.0,290521088,295108608
downstream-v3,100mb-all,dta,sparse,candidate,0.006,0.006,0.007,0.042,0.042,0.043,0.049,0.048,0.049,0.006,0.006,0.007,290701312.0,290357248,293273600
downstream-v3,100mb-all,dta,traverse,baseline,0.0245,0.024,0.025,0.045,0.045,0.046,0.07,0.069,0.071,0.0555,0.054,0.056,390488064.0,386416640,394215424
downstream-v3,100mb-all,dta,traverse,candidate,0.0245,0.024,0.025,0.042,0.042,0.043,0.067,0.067,0.068,0.055,0.053,0.056,371982336.0,371441664,380108800
downstream-v3,100mb-all,dta,first_write,baseline,0.002,0.001,0.002,0.046,0.044,0.046,0.1115,0.11,0.112,0.002,0.001,0.002,436215808.0,430227456,437108736
downstream-v3,100mb-all,dta,first_write,candidate,0.0015,0.001,0.002,0.042499999999999996,0.042,0.044,0.108,0.106,0.114,0.0015,0.001,0.002,422789120.0,422346752,423395328
downstream-v3,100mb-all,dta,r_vector,baseline,0.0045000000000000005,0.004,0.005,0.046,0.045,0.046,0.0505,0.05,0.051,0.004,0.004,0.005,301891584.0,298123264,304693248
downstream-v3,100mb-all,dta,r_vector,candidate,0.005,0.004,0.005,0.042,0.042,0.043,0.0475,0.047,0.049,0.0045000000000000005,0.004,0.005,298016768.0,297828352,298205184
downstream-v3,100mb-all,arrow,sparse,baseline,0.006,0.006,0.006,0.029,0.028,0.03,0.035,0.034,0.036,0.006,0.006,0.006,380026880.0,378388480,381730816
